Title,Year,Source title,topic
Demystifying meal-sharing experiences through a combination of PLS-SEM and fsQCA,2023,Journal of Hospitality Marketing and Management,-1
"AI-powered ChatGPT in the hospitality and tourism industry: benefits, challenges, theoretical framework, propositions and future research directions",2025,Tourism Recreation Research,0
Actualizing Transaction Affordances and Trust: An Empirical Study of Digital B2B Platform,2025,Journal of Business-to-Business Marketing,-1
"Customer touchpoints: Conceptualization, index development, and validation",2024,Tourism Management,-1
Can Consumer Citizenship Behavior be Created Using Service Robots in Luxury Hospitality Services?,2023,Indian Journal of Marketing,1
Sharing economy in the new hospitality: consumer perspective,2023,Journal of Hospitality and Tourism Insights,-1
Content analysis of IQOS direct mail and email marketing in the US,2024,Preventive Medicine Reports,-1
Analyzing the Influence of eWOM on Customer Perception of Value and Brand Love in Hospitality Enterprise,2023,Sustainability (Switzerland),3
Exploring the Future of Hospitality: Will Jakarta's Hoteliers Embrace Service Robots?,2024,"ICBIR 2024 - 2024 9th International Conference on Business and Industrial Research, Proceedings",1
Measuring the service quality of artificial intelligence in the tourism and hospitality industry,2023,"Handbook of Research on Innovation, Differentiation, and New Technologies in Tourism, Hotels, and Food Service",0
Customer experience in five-star hotel businesses: is it an “experience” for customers?,2023,Consumer Behavior in Tourism and Hospitality,6
Identifying the job competencies of Generation Z hotel employee in an intelligent environment in China,2024,International Journal of Management and Sustainability,-1
"Diversity, equity and inclusion in employee-queer customer interactions in the hospitality service setting: including multiple stakeholders’ perspectives",2024,International Journal of Contemporary Hospitality Management,-1
ENHANCING SUSTAINABILITY AND REDUCING CUSTOMER TECHNOSTRESS THROUGH FOOD-ORDERING APPS,2023,Geojournal of Tourism and Geosites ,13
A LITERATURE REVIEW ON SMART TECHNOLOGIES IN SERVICE SYSTEMS: HOW SHOULD WE WORK IN FUTURE?,2024,Review of Management Literature,0
Classifying Scuba Diving Sites through Diver Reviews with a Web Scraping Based UTADIS Application,2023,Croatian Operational Research Review,2
Innovative technologies in the hotel business as a factor in the sustainable development of the hospitality industry in the Rostov region,2024,BIO Web of Conferences,12
Beyond reality: Leveraging virtual reality for innovation in hospitality marketing and training,2025,A Research Agenda for Smart Hospitality,0
UNDERSTANDING THE INFLUENCE OF FOOD VALUE ON FAST-FOOD CUSTOMER BEHAVIOR: A STUDY ON THE MEDIATING ROLE OF BLOGGER REVIEWS AND MODERATING EFFECT OF CONTENT CREDIBILITY,2024,Geojournal of Tourism and Geosites ,-1
Impacts of smart technology on customer experience: From perspective of hotel frontline staff,2023,Measuring Consumer Behavior in Hospitality for Enhanced Decision Making,9
Starbucks' innovative approach: a pilot discussion about how to enhance customer experiences in the hospitality sector,2024,International Journal of Business and Systems Research,-1
A multi-perspective approach of international tourist satisfaction in tourism service: from big data perspective,2023,Journal of Asia Business Studies,7
The Near Optimal Identification of Food Ingredients for Enhanced Dining Experience,2024,"IEEE International Conference on Electronic Systems and Intelligent Computing, ICESIC 2024 - Proceedings",14
"Transparency, authenticity and purchase intentions: Chinese independent restaurants",2022,International Journal of Contemporary Hospitality Management,-1
Design of Hotel Room Experience Based on Virtual Reality Technology,2024,Journal of Electrical Systems,2
Assessing the influence of sustainable practices on guest satisfaction and loyalty in the hotel industry: An empirical investigation; [Evaluación de la influencia de las prácticas sostenibles en la satisfacción y lealtad de los clientes del sector hotelero: Una investigación empírica],2024,"Salud, Ciencia y Tecnologia - Serie de Conferencias",7
Eliminating customer experience pain points in complex customer journeys through smart service solutions,2024,Psychology and Marketing,-1
Clicks to comfort: the magic of social media marketing in the hotel service industry,2024,International Journal of Internet Marketing and Advertising,10
Intangible but Effective: The Role of Hotel Lobby Music Background on Customer Satisfaction,2024,Marketing and Design in the Service Sector: Enhancing Customer Experience,-1
Formal versus casual: How do customers respond to service robots’ uniforms? The roles of service type and language style,2023,International Journal of Hospitality Management,1
Impact of customer incivility on restaurant employee stress spread and turnover: COVID-19 vaccination mandate,2023,International Journal of Hospitality Management,-1
Empowering hospitality brands AI strategies for enhanced customer experiences in emerging markets,2024,Integrating AI-Driven Technologies Into Service Marketing,0
The Disruption of the Pandemic in the use of Hospitality Establishments and Services in South Africa,2024,Proceedings of the International Conference on Tourism Research,9
Determinant Of Purchase Intention on Online Menu Restaurant Through Organism Response (SOR) Model,2022,Quality - Access to Success,13
Social Media Research in the Hotel Industry: A Bibliometric Analysis,2023,"Tourism, Hospitality and Event Management",10
Assessing water and sanitation service quality at pilgrimage sites after COVID-19: An empirical investigation,2023,Prospects and Challenges of Global Pilgrimage Tourism and Hospitality,9
Effects of sensory cues on consumers’ wine taste perceptions and behavior: evidence from a wine-tasting experiment,2024,International Journal of Contemporary Hospitality Management,5
Analysis of Online Reviews Created by Hotel Guests,2023,Communications in Computer and Information Science,2
Design & Development of Food-Chamber Temperature Control System by Using Peltier Effect Ensembled with KNN-PI Controller,2024,"2024 IEEE International Conference on Smart Power Control and Renewable Energy, ICSPCRE 2024",14
Robotic employees vs. human employees: Customers’ perceived authenticity at casual dining restaurants,2022,International Journal of Hospitality Management,1
Enhancing Hospitality Service Quality With Artificial Intelligence,2024,"Technology and Luxury Hospitality: Ai, Blockchain and the Metaverse",0
Reexamining brand loyalty and brand awareness with social media marketing: A collectivist country perspective,2023,"Journal of Tourism, Heritage and Services Marketing",-1
Engaging guests for a greener tomorrow: Examining the role of hotel chatbots in encouraging pro-environmental behavior,2025,Tourism and Hospitality Research,0
The best of both worlds: Using the metaverse to enhance customer experience,2022,Strategic Direction,6
Decision Framework for Eco-Friendly Hospitality: A Sustainable Future for Hotel Industry in High-Altitude Regions,2024,Journal of Quality Assurance in Hospitality and Tourism,8
Perception of Georgian Consumers Towards Corporate Social Responsibility in the Restaurant Industry,2023,"Smart Innovation, Systems and Technologies",3
Inventive Marketing for Advanced Design and Profitable Hotel Operation for Extravagance Experiences,2023,Journal of System and Management Sciences,-1
"Credit card churning customers, endowed loyalty, and protestant work ethic; [信用卡流失消费者，获赠忠诚，和新教职业道德]",2024,Service Industries Journal,3
Customer preference analysis towards online shopping decisions based on optimized feature extraction,2025,Expert Systems,2
A healing touch: Understanding the ‘culture of hospitality’ in chiropractic clinics,2023,International Journal of Hospitality Management,6
"Sexual orientation identity matters: Lesbian, Gay, and Bi-sexual customers’ perceptions of service encounters",2023,Journal of Hospitality Marketing and Management,-1
Dwell - A Smart Building Management Application,2025,"International Conference on Trends in Engineering Systems and Technologies, ICTEST 2025 - Proceedings",0
A Survey of Food Delivery Innovation Evolution in Developing Countries: Insights from Indonesia,2023,"ICADEIS 2023 - International Conference on Advancement in Data Science, E-Learning and Information Systems: Data, Intelligent Systems, and the Applications for Human Life, Proceeding",13
"Measuring The Costumer Sevice Index (Csi) Of Wirolegi Market, Jember District",2024,Quality - Access to Success,-1
Hybrid Servicescapes in Tourism and Hospitality,2024,Contemporary Marketing Management for Tourism and Hospitality: How New Tech and Gen Z Drive Sustainable Business Transformation,0
COMPETITIVE BENCHMARKING ANALYSIS OF ALGERIAN HOTELS WITH THE ANALYTIC HIERARCHY PROCESS (AHP): THE USE OF PERFORMANCE GAP,2024,International Journal of the Analytic Hierarchy Process,7
Technology-Enhanced Tourist Experiences,2025,Tourism and Hospitality for Sustainable Development: Volume Three: Implications for Customers and Employees of Tourism Businesses,0
Analyzing the Impact of Lean Six Sigma Methodology on Service Quality Improvement in the Hospitality Industry,2024,Quality - Access to Success,7
Talent Acquisition and Retention in Hospitality Industry: Current skill gaps and challenges,2024,Global Practices on Effective Talent Acquisition and Retention,-1
ONLINE SERVICE SENTIMENTS IN TRANSFORMATIVE SOCIETY: A CROSS-CULTURAL ANALYSIS,2023,Journal of Electronic Commerce Research,-1
Does Greenwashing Influence the Green Product Experience in Emerging Hospitality Markets Post-COVID-19?,2022,Sustainability (Switzerland),8
How does Starbucks' merchandise design in their online shop trigger behavioral intention?,2024,International Journal of Hospitality Management,-1
Compliance Enhancement in Tourism: Regulatory Alignment and Design Optimization at Kedai Kopi Kosong Lima,2023,International Journal of Design and Nature and Ecodynamics,-1
"Artificial intelligence (AI) systems, customer experience and preference in the tourism industry in Ghana: Focus on Accra Metropolis",2024,Contemporary Marketing and Consumer Behaviour in Sustainable Tourism,0
From the kitchen to the feed: how internal and external influencers shape consumer behavior in restaurant marketing,2025,British Food Journal,-1
Machine learning-based model for customer emotion detection in hotel booking services,2024,Journal of Hospitality and Tourism Insights,2
Vloggers and consumer choices in the hotel and hospitality sector: The double-edged sword of discounts,2024,Journal of Hospitality and Tourism Management,4
Consumers’ Intention to Purchase Through the O2O Catering Platform: A Study Based on a Stimulus-Organism-Response (SOR) Model,2024,Lecture Notes in Business Information Processing,13
Metaverse as a driver for customer experience and value co-creation: implications for hospitality and tourism management and marketing,2023,International Journal of Contemporary Hospitality Management,4
Future of Virtual Reality and Metaverse in Hospitality and Tourism Management: An Industry Perspective,2022,Journal of Smart Tourism,4
Peer-to-Peer Accommodation User Experience: Evidence From Sri Lanka,2023,SAGE Open,-1
Exploring the Factors Shaping Customer Preferences in Online Food Delivery Apps,2025,"2025 3rd International Conference on Advancements in Electrical, Electronics, Communication, Computing and Automation, ICAECA 2025",13
A Survey on the Potential of Artificial Intelligence Tools in Tourism Information Services,2024,Babylonian Journal of Artificial Intelligence,0
SWOT Analysis of Customer Perceptions Towards AI Robot Services in Bangkok Restaurants,2024,Journal of System and Management Sciences,1
Impact of AI in the Tourism Industry: A Double-Edged Sword,2024,"Technology and Luxury Hospitality: Ai, Blockchain and the Metaverse",0
Can AI improve hotel service performance? A systematic review using ADO-TCM,2025,Tourism and Hospitality Research,0
Digitalization and Management Innovation II - Proceedings of DMI 2023,2023,Frontiers in Artificial Intelligence and Applications,-1
Voice Control and Voice Searching,2024,"Future Tourism Trends Volume 2: Technology Advancement, Trends and Innovations for the Future in Tourism",0
Customer experience in the hotel industry: a systematic literature review and research agenda,2023,International Journal of Contemporary Hospitality Management,6
Sipping a sustainable life: Exploring drivers and barriers in consumer attitudes toward non or low alcoholic spirits,2024,Appetite,-1
Conceptualising and measuring experiential health-care services: role of consumer involvement,2022,International Journal of Pharmaceutical and Healthcare Marketing,-1
Memorable Tourism Experiences (MTEs) and its Applications in the Indian Hospitality Industry,2024,Adapting to Evolving Consumer Experiences in Hospitality and Tourism,6
Enhancing Customer Experience in Tourism and Hospitality With Machine Learning Framework,2024,"Proceedings of International Conference on Communication, Computer Sciences and Engineering, IC3SE 2024",2
The Impact of Self-Order Kiosk and Service Quality on Customer Experience in McDonald's Citra Garden 6 Jakarta,2023,E3S Web of Conferences,-1
An Aspect-Based Review Analysis Using ChatGPT for the Exploration of Hotel Service Failures,2024,Sustainability (Switzerland),2
Customers’ metaverse service encounter perceptions: sentiment analysis and topic modeling,2025,Journal of Hospitality Marketing and Management,2
INDUSTRY VIEW: Reimagining customer experience in the hospitality and tourism industries: Navigating evolving values and expanding authenticity in the post-pandemic landscape,2024,Consumer Behaviour in Hospitality and Tourism: Contemporary Perspectives and Challenges,6
Artificial intelligence in hospitality services: examining consumers’ receptivity to unmanned smart hotels,2024,Journal of Hospitality and Tourism Insights,1
Augmented reality marketing in hospitality and tourism: a guide for researchers and managers,2024,International Journal of Contemporary Hospitality Management,4
The Design Thinking Method to the Bright Gas Scanner Application to Enhance Bright Gas Sales Realization,2024,"Proceeding - IEEE 10th Information Technology International Seminar, ITIS 2024",-1
Hospitality employees and digital transformation: The mediating roles of alienation and motivation,2024,International Journal of Hospitality Management,-1
The Influence of the Covid-19 Pandemic on Social Media Engagement of Luxury Hotels,2023,Springer Proceedings in Business and Economics,10
E-Tourism and the COVID-19 pandemic,2024,Artificial Intelligence for Smart Technology in the Hospitality and Tourism Industry,-1
Hospitality in 3D in times of Web 3.0: an exploration towards the Metaverse and its impact on customer experience,2024,"A Research Agenda for Tourism, Hospitality and the Metaverse",4
"Examining the Relationships Among Internet Celebrity, Trust, Happiness, Continuous Watching Intention, and Purchase Intention in Livestreaming",2024,Journal of Quality Assurance in Hospitality and Tourism,10
Successful stories on the usage of technologies in service industries,2024,Technological Innovations in the Food Service Industry,0
The Emergence of Virtual Experiences in the Sharing Economy,2024,Journal of Hospitality and Tourism Research,-1
Understanding luxury millennial consumption experiences as means to improve brand value,2024,Emerging Trends in Consumer Behaviour in the Service Sector,-1
Tourists’ Perceptions of Service Quality: Using Text for Tourism Hospitality Industry Insights,2024,"Advances in Science, Technology and Innovation",7
Employees’ perception of robots and robot-induced unemployment in hospitality industry under COVID-19 pandemic,2022,International Journal of Hospitality Management,1
Comprehensive examination of online reviews divergence over time and platform types,2024,International Journal of Hospitality Management,-1
Customer Demographics and Hotel Service Quality: An In-depth Investigation,2024,International Research Journal of Multidisciplinary Scope,7
Applications of artificial intelligence and robots in service industries,2024,Advancing Intelligent Networks Through Distributed Optimization,1
Implementation of European Experience in the Activities of Modern Domestic Enterprises of the Hospitality Industry,2022,Economic Affairs (New Delhi),-1
Operational Transparency as a Service Design: An Investigation on Labor/Effort Observation Effect,2024,Journal of Hospitality and Tourism Research,-1
Do authentic dimensions and customer knowledge affect overall authenticity and revisit intention via interacting gastronomic experience? Perspective on ethnic restaurants,2024,International Journal of Hospitality Management,-1
Furry friends welcome! Investigating dog-owners’ perceived value of dining out with their pets,2024,International Journal of Hospitality Management,-1
A 2010–2022 Bibliometric Analysis Review of the Augmented Hospitality Research Milieu,2024,Springer International Handbooks of Education,-1
A Holistic Quality Improvement Model for Food Services: Integrating Fuzzy Kano and PROMETHEE II,2024,Systems,-1
Fear-Driven Surge: Food Delivery Apps in a Changing World,2024,Journal of Global Marketing,13
Thainess in airlines services strategy: A case from Thailand,2023,E3S Web of Conferences,-1
A reflection of greenwashing practices in the hospitality industry: a scoping review,2023,International Journal of Contemporary Hospitality Management,8
Facebook Reviews and Consumers’ Food Purchase Behaviour in Cloud Kitchens: The Moderating Role of Product Knowledge,2024,Asia-Pacific Journal of Innovation in Hospitality and Tourism,-1
"International Conference on Marketing and Technologies, ICMarkTech 2023",2024,"Smart Innovation, Systems and Technologies",-1
From trash to cash: the effect of product construal and benefit appeals on consumer evaluations of rescued meals,2023,International Journal of Contemporary Hospitality Management,5
Paradise splendour,2023,"Teaching Cases in Tourism, Hospitality and Events",6
From Machine Learning Algorithms to Superior Customer Experience: Business Implications of Machine Learning-Driven Data Analytics in the Hospitality Industry,2024,Journal of Smart Tourism,0
Politics and dinner tables do mix! exploring the role of consumers’ political orientation in plant-based food promotion at restaurants,2024,International Journal of Hospitality Management,5
Employing the houseless as corporate social responsibility,2023,International Journal of Contemporary Hospitality Management,3
The Influence of Chatbots Adoption on Customer Loyalty in the Foodservice Sector,2023,"2023 5th International Conference on Cybernetics and Intelligent Systems, ICORIS 2023",0
AI-Driven Solutions in Hospitality: Transforming Guest Experience and Streamlining Hotel Operations,2025,"Proceedings of the 2025 International Conference on Technology Enabled Economic Changes, InTech 2025",0
"Smart hospitality: Reflecting on today, inspiring tomorrow",2025,A Research Agenda for Smart Hospitality,0
The role of AI chatbots in transforming guest engagement and marketing in hospitality,2024,Integrating AI-Driven Technologies Into Service Marketing,0
Understanding Customer Experience for Sustainable Innovation: An Integration of Conscious and Unconscious Perspectives of Theme Hotel Guests,2024,Sustainability (Switzerland) ,6
Over 33 years of the hospitality research: a bibliometric review of the International Journal of Contemporary Hospitality Management,2023,International Journal of Contemporary Hospitality Management,6
Understanding the impact of artificial intelligence and robotics in the tourism and hospitality industry through customer experience: A systematic literature review,2024,Impact of AI and Tech-Driven Solutions in Hospitality and Tourism,0
Lookism in hospitality and tourism: An overview and exploration of contemporary lookism issues,2023,"The Routledge Handbook of Diversity, Equity, and Inclusion Management in the Hospitality Industry",3
"Generative artificial intelligence in hospitality and tourism: future capabilities, AI prompts and real-world applications",2025,Journal of Hospitality Marketing and Management,0
How Platform Exchange and Safeguards Matter: The Case of Sexual Risk in Airbnb and Couchsurfing,2024,Proceedings of the ACM on Human-Computer Interaction,-1
Production effort investment strategy in the apparel supply chain based on online reviews; [基于在线评论的服装供应链的生产努力投入策略],2024,Advanced Textile Technology,-1
Building restaurant customers’ technology readiness through robot-assisted experiences at multiple product levels,2022,Tourism Management,1
How Marketing and Design can Enhance Customer Experience in Hospitality by Meeting Their Evolving Needs,2024,Marketing and Design in the Service Sector: Enhancing Customer Experience,-1
Artificial intelligence for innovative customer services in the hospitality industry of India,2023,Leveraging AI and Emotional Intelligence in Contemporary Business Organizations,0
Capital indicators for hotel customer experience to support strategic management,2023,Measuring Consumer Behavior in Hospitality for Enhanced Decision Making,-1
Robots for Hospitality and Tourism in Thailand: Opportunities and Challenges,2024,GMSARN International Journal,1
A new city hospitality experience model,2024,Hospitality and Society,6
ChatGPT as a Sentiment Analysis Tool: An Assessment Based on Negative Reviews of High-End UK Restaurants,2025,Springer Proceedings in Business and Economics,2
An Investigation of Customer Experience and Behavioral Intentions in the South Korean Restaurant Industry,2024,Review of Integrative Business and Economics Research,5
Customer experience and revisit intention: Implications of redesigning hospitality services through technological innovations and servicescape reorganisation,2023,Handbook of Customer Engagement in Tourism Marketing,9
Embracing technological disruption: Exploring the adoption of AI-driven solutions in tourism and hospitality,2024,Impact of AI and Tech-Driven Solutions in Hospitality and Tourism,0
Delineation of artificial intelligence in the hospitality and tourism industries,2024,Impact of AI and Tech-Driven Solutions in Hospitality and Tourism,0
A variant SDDP approach for periodic-review approximately optimal pricing of a slow-moving a item in a duopoly under price protection with end-of-life return and retail fixed markdown policy,2023,Expert Systems with Applications,15
Linking Fintech Payment Services and Customer Loyalty Intention in the Hospitality Industry: The Mediating Role of Customer Experience and Attitude,2022,Sustainability (Switzerland),-1
Embracing the paradox of customer experiences in the hospitality and tourism industry,2024,International Journal of Management Reviews,6
Examining hotel characteristics and facilities influencing customer satisfaction using decision tree analysis,2024,International Journal of Tourism Cities,7
Elevating the boutique appeal: generating a sense of place in luxury hospitality through virtual tours,2023,Consumer Behavior in Tourism and Hospitality,-1
Design and Implementation of a QR-Enabled Autonomous Bartender Using a User-Friendly Interface,2024,"2024 28th International Conference on Methods and Models in Automation and Robotics, MMAR 2024 - Proceedings",1
Marketing online food images via color saturation: A sensory imagery perspective,2022,Journal of Business Research,5
Impact of AI and the Evolution of Future Ghost Kitchens,2025,Impact of AI and the Evolution of Future Ghost Kitchens,14
BRAND CO-CREATION TOURISM RESEARCH: Contemporary Issues and Challenges,2023,Brand Co-Creation Tourism Research: Contemporary Issues and Challenges,3
The impact of green training on employee turnover intention and customer satisfaction: An integrated perspective,2023,Corporate Social Responsibility and Environmental Management,8
Impact of environmental awareness and knowledge on purchase intention of an eco-friendly hotel: mediating role of habits and attitudes,2024,Journal of Hospitality and Tourism Insights,8
What is a dark kitchen? A study of consumer's perceptions of deliver-only restaurants using food delivery apps in Brazil,2022,Food Research International,5
ARE CUSTOMERS READY TO BE SMART? DESIGNING SMART HOTEL EXPERIENCES,2024,Tourism and Hospitality Management,0
Hospitality in the age of Gen Z: a critical reflection on evolving customer and workforce expectations,2024,International Journal of Contemporary Hospitality Management,6
The benefits and challenges of artificial intelligence applications in tourism industry: How the hospitality industry in Japan is transforming,2024,The Role of Artificial Intelligence in Regenerative Tourism and Green Destinations,0
Using Online Customer Reviews to Understand Customers’ Experience and Satisfaction with Integrated Resorts,2023,Sustainability (Switzerland),-1
The Impact of Electronic Word-of-Mouth on the Purchase Intention of Tourists on Online Hotel Booking Applications,2024,International Journal of Asian Business and Information Management,-1
Assessment of the quality of the service perceived in specific contexts of management of a family business,2022,Journal of Family Business Management,7
"Examining the Impact of Entrepreneurial Orientation, Self-Efficacy, and Perceived Business Performance on Managers’ Attitudes Towards AI and Its Adoption in Hospitality SMEs",2024,Systems,0
An extended recommendation system by applying aspect-based sentiment analysis method on customers’ review and experience,2024,International Journal of Intelligent Information and Database Systems,2
How positive do testimonials on a restaurant website need to be? Impact of positivity of testimonial reviews on customers’ decision-making,2023,International Journal of Hospitality Management,7
Human employees versus robotic employees: Customers and hotel managers’ perceived experience at unmanned smart hotels,2023,Cogent Social Sciences,1
Big Data for Customer Experience in Hospitality & Tourism Sector: A Review,2023,"2023 International Conference on Disruptive Technologies, ICDT 2023",2
Integrating LLMs and Text Mining for Cost-Effective Marketing Intelligence: A Hospitality Industry Perspective,2025,International Journal of Knowledge Management,2
Path Analysis of the Impact of Perceived Attributes of Service Robots on Customer Experience: A Case Study of Luxury Hotels in Shanghai,2024,Pakistan Journal of Life and Social Sciences,1
A Donation-With-Purchase at a Restaurant: Perceived Authenticity in a Cause-related Marketing,2024,Journal of Hospitality and Tourism Research,-1
AI Technologies for Personalized and Sustainable Tourism,2024,AI Technologies for Personalized and Sustainable Tourism,0
Usefulness of Online Reviews of Sensory Experiences: Pre- vs. Post-Pandemic,2024,Journal of Theoretical and Applied Electronic Commerce Research ,-1
Color and naturalness: How color saturation shapes tourists' perception and purchase intention,2024,International Journal of Tourism Research,8
Service management and marketing principles: Competing in the service economy,2024,Service Management and Marketing Principles: Competing in the Service Economy,-1
"Digital transformation in tourism and hospitality industry: a literature review of blockchain, financial technology, and knowledge management",2024,EuroMed Journal of Business,-1
Behind the Kitchen Doors: Unveiling Post-COVID Challenges and Sustainable Solutions for Chefs in the Hospitality Sector,2024,Sustainability (Switzerland),-1
Relevance of social media management in online reputation building in tourism and hospitality: Case of Finland,2023,"Online Reputation Management in Destination and Hospitality: What We Know, What We Need To Know",10
Multi-Aspect Sentiment Analysis for Hotel Reviews with Hybrid RNN-Long Short-Term Memory (LSTM) Method,2025,"2025 International Conference on Data Science and Its Applications, ICoDSA 2025",2
Digital and smart technology for people with disability in the tourism and hospitality industry: A literature review for smart and inclusive hotels,2024,Organizations and Technology for Sustainability,-1
Robotic Vision with Micro Expression Analysis: Revolutionizing Customer Experiences in the Tourism and Hospitality Industry,2023,"Proceedings of 2023 IEEE Technology and Engineering Management Conference - Asia Pacific, TEMSCON-ASPAC 2023",1
"Customer Experience Management in the Caribbean: Concepts, Case Studies and Challenges",2024,"Customer Experience Management in the Caribbean: Concepts, Case Studies and Challenges",-1
Hotel Chatbot Receptionist for Smart Hospitality,2024,"2024 28th International Conference on Information Technology, IT 2024",0
Zero Configuration Comfort and Accessibility in Smart Environments,2024,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST",0
"Innovative Services, Processes and Product Design Crucial for Enhancing Customer Experience",2024,Marketing and Design in the Service Sector: Enhancing Customer Experience,12
The Co-evaluation of a Circular Economy Self-Assessment Tool for Hotels,2024,Springer Proceedings in Business and Economics,11
"Integrating TAM, TPB, and Time-Saving Orientation to Predict Continued Use of Online Food Delivery: Customer Experience in Distribution Services",2025,Journal of Distribution Science,13
Customer satisfaction in hospitality marketing from a technological perspective,2024,Impact of AI and Tech-Driven Solutions in Hospitality and Tourism,0
Negative customer engagement behavior in online social networks: Understanding the nuance,2023,Handbook of Customer Engagement in Tourism Marketing,-1
Exploring smart technologies for customized guest experiences: A case study from the hospitality sector,2024,Cases on Innovation and Sustainability in Tourism,0
The impact of implementing chatbot on customer visit intention: application for hotel management,2023,International Journal of Technology Marketing,0
Bytes to bites: Investigating QR code menu use behavior and green satisfaction in the restaurantscapes through a hybrid PLS-SEM and machine learning approach,2025,Journal of Foodservice Business Research,-1
"The Impact of Robotic, Artificial Intelligence, and Service Automation Adoption on Job Security Perception and Work Performance in Hospitality Sector",2024,"ICBIR 2024 - 2024 9th International Conference on Business and Industrial Research, Proceedings",1
Evaluating visitor–therapist relationship in Indian spa and wellness resorts,2023,Journal of Hospitality and Tourism Insights,2
PERMANENT INVOLVEMENT OF DIGITIZATION AND MODERN TECHNOLOGY IN THE DIRECTION OF SUSTAINABLE GROWTH IN THE TOURISM AND HOTEL INDUSTRY OF SERBIA,2024,"International Conference on Business, Management and Economics Engineering Future-BME",11
Presence in virtual hotel experience and purchase intention: The mediating role of decision comfort,2023,"Routledge Handbook of Trends and Issues in Tourism Sustainability, Planning and Development, Management, and Technology",4
"The Spirit of Recovery: IT Perspectives, Experiences, and Applications during the COVID-19 Pandemic",2024,"The Spirit of Recovery: IT Perspectives, Experiences, and Applications during the COVID-19 Pandemic",-1
Application of metaverse in the hospitality industry,2023,Influencer Marketing Applications Within the Metaverse,4
"Preference Learning in Food Recommendation: the ""Myfood"" Case Study",2023,"International Conference on Electrical, Computer, Communications and Mechatronics Engineering, ICECCME 2023",14
Club Mahindra: culture as an enabler of future business strategy,2023,CASE Journal,-1
Role of AI in service marketing of eco-friendly hotels,2024,Integrating AI-Driven Technologies Into Service Marketing,0
Assessing the Influence of Self-service Technology on WOM: The Role of Customer Satisfaction,2025,Lecture Notes in Networks and Systems,-1
Leveraging text analytics to enhance marketing insights from digital customer experiences,2024,New Trends in Marketing and Consumer Science,0
"""one Soy Latte for Daniel"": Visual and Movement Communication of Intention from a Robot Waiter to a Group of Customers",2024,"IEEE International Workshop on Robot and Human Communication, RO-MAN",1
Applications of Artificial Intelligence (AI) in the tourism industry: A futuristic perspective,2023,"Impact of Industry 4.0 on Sustainable Tourism: Perspectives, Challenges and Future",0
Tourists’ Behavior Toward Hotel Service Robots: Application of the Big Five Personality Traits Framework,2025,Springer Proceedings in Business and Economics,1
Redefining horizons: Examining the effects of the internet on India's tourism and hospitality sector,2024,Integrating AI-Driven Technologies Into Service Marketing,11
AI concierge in the customer journey: what is it and how can it add value to the customer?,2024,Journal of Service Management,1
Research on text analysis of consumer reviews in the catering industry based on the BTM model,2024,"Proceedings of 2024 IEEE 4th International Conference on Information Technology, Big Data and Artificial Intelligence, ICIBA 2024",2
AI-powered marketing strategies in the tourism and hospitality sector,2024,Utilizing Smart Technology and AI in Hybrid Tourism and Hospitality,0
AI and IoT Applications in the Hospitality Industry: A Study of Their Potential in Transforming the Indian Online Travel Market by 2030,2024,"Technology and Luxury Hospitality: Ai, Blockchain and the Metaverse",0
Adaptive Reuse: Atmospherics in Buildings Repurposed as Coffee Shops,2024,Sustainability (Switzerland),-1
SME participation in cross-border e-commerce as an entry mode to foreign markets: A driver of innovation or not?,2023,Electronic Commerce Research,-1
Towards a better understanding of food raft entrepreneurs’ ecological behaviour,2025,Tourism and Hospitality Research,8
Sustainable Tourism in the Post-COVID19 Era: The Effect of Green Practices on Hotel Attributes and Customer Preference in Jakarta,2024,"Studies in Systems, Decision and Control",8
How Corporate Social Responsibility Motivation Drives Customer Extra-Role Behavior and Green Purchase Intentions: The Role of Ethical Corporate Identity,2024,Sustainability (Switzerland) ,3
Trust in Virtual Interaction: The Role of Avatars in Sustainable Customer Relationships,2023,Sustainability (Switzerland),3
COVID-19 shock in the hospitality industry: its effect on hotel operations within the Bono region of Ghana,2023,African Journal of Economic and Management Studies,9
Consumers’ green purchase intention to visit green hotels: A value-belief-norm theory perspective,2023,Frontiers in Psychology,8
Generative AI (GAI) adoption in hotels and resorts: understanding competitive advantage using longitudinal & multi-group study,2025,Current Issues in Tourism,0
Understanding the Customers’ Emotions and Experience of Robot-assisted Services in Luxury Hotels and Its Influence on Revisit Intention,2024,Global Business Review,1
Facilities management and clients satisfaction nexus in hotels in secondary cities in Ghana: A study of selected hotels in Wa,2023,Facilities,7
Construction and Validation of Hotel Personalized Service Recommendation Model Based on Big Data Analysis,2025,"2025 IEEE International Conference on Electronics, Energy Systems and Power Engineering, EESPE 2025",2
EVALUATING CX IN THE RETAIL SPACE WITH DESIGN THINKING AND DOUBLE DIAMOND DESIGN PROCESS,2023,New Design Ideas,-1
A Study on Customer Satisfaction in Bali’s Luxury Resort Utilizing Big Data through Online Review,2022,Administrative Sciences,-1
Assessing tourist satisfaction in selected resorts and hotels using AI and the SERVQUAL model: Perception of AI techniques and SERVQUAL model in Himachal Pradesh hotels,2024,Hotel and Travel Management in the AI Era,1
