"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"874 results found for My patents";"";"";"";"";"";"";"";"";
"Results 1 to 874 displayed";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"246";"E-commerce big data logistics supply chain control system based on artificial intelligence and block chain";"LI JUNNIAN 
CAI JING 
LIN YUXIANG";"GANSU TENGYUYUN SUPPLY CHAIN TECH CO LTD";"CN116843246A";"2023-07-11";"G06Q10/0631 
G06Q10/083 
G06Q10/0833 
G06Q10/0835 
G06Q10/0875";"G06Q10/0631 (CN) 
G06Q10/083 (CN) 
G06Q10/0833 (CN) 
G06Q10/08355 (CN) 
G06Q10/0875 (CN)";"2023-10-03";"2023-10-03";"088170433";
"247";"Data processing method and related device";"FAN PENG";"TENCENT TECH SHENZHEN CO LTD";"CN116861226A";"2022-03-23";"G06F18/214 
G06F18/23213 
G06F18/241 
G06N3/0464 
G06N3/08 
G06Q30/0202 
G06Q30/0242 
G06Q30/0601";"G06Q30/0202 (CN) 
G06Q30/0242 (CN)";"2023-10-10";"2023-10-10";"088220287";
"248";"Clothing recommendation method and device, terminal equipment and computer readable storage medium";"ZHOU SHUJIE 
HAN SHU";"SHENZHEN HUIJU DIGITAL SOFTWARE OPERATION CO LTD";"CN116883119A 
CN116883119B";"2023-07-27";"G06Q30/0601 
G06T7/00 
G06V10/54 
G06V10/764";"G06Q30/0631 (CN) 
G06T7/0002 (CN) 
G06V10/54 (CN) 
G06V10/764 (CN) 
G06T2207/30124 (CN) 
G06T2207/30196 (CN)";"2023-10-13 
2024-03-19";"2023-10-13";"088268154";
"249";"MACHINE LEARNING NETWORKS, ARCHITECTURES AND TECHNIQUES FOR DETERMINING OR PREDICTING DEMAND METRICS IN ONE OR MORE CHANNELS";"LOVE MICHAEL [US] 
LOVE BLAKE [US] 
SOROMENHO TIAGO [US] 
STARKS ALEXANDER [US] 
PAFF MATTHEW [US]";"SURGETECH M LLC [PT]";"US2025315681A1";"2023-02-10";"G06N3/0442 
G06N3/088 
G06Q10/087 
G06Q30/0201 
G06Q30/0202";"G06N20/20 (EP) 
G06N3/0442 (EP,US) 
G06N3/045 (EP) 
G06N3/08 (EP) 
G06N3/088 (US) 
G06N5/01 (EP) 
G06N7/01 (EP) 
G06Q10/087 (US) 
G06Q30/0202 (EP,US) 
G06Q30/0206 (EP,US) 
G06Q10/087 (EP)";"2025-10-09";"2023-10-17";"088309395";
"250";"COMMERCE DATA ANALYSIS SYSTEM ACCORDING TO SEARCH TERMS BASED ON ARTIFICIAL INTELLIGENCE AND THE ANALYSIS METHOD THEREOF";"HEO YONGSEON";"TEAMOFMINE CO LTD [KR]";"KR20230145757A";"2022-04-11";"G06N20/00 
G06Q30/02 
G06Q30/06";"G06N20/00 (KR) 
G06Q30/0201 (KR) 
G06Q30/0222 (KR) 
G06Q30/0239 (KR) 
G06Q30/0278 (KR) 
G06Q30/0619 (KR)";"2023-10-18";"2023-10-18";"088508271";
"251";"DATA PROCESSING METHOD AND RELATED APPARATUS";"CHEN BO [CN] 
WANG YUHAO [CN] 
ZHAO XIANGYU [CN] 
GUO HUIFENG [CN] 
TANG RUIMING [CN]";"HUAWEI TECH CO LTD [CN]";"WO2024255779A1";"2023-06-16";"G06F16/9535";"G06F16/9535 (CN) 
G06F18/213 (CN) 
G06F18/25 (CN) 
G06N3/0464 (CN) 
G06N3/084 (CN)";"2024-12-19";"2023-10-20";"088363793";
"252";"Logistics identification and distribution robot based on artificial intelligence and control method thereof";"LI HUA 
DENG YEQIANG 
FENG JINFU 
WU HAOXI";"YUNYITONG TECH CO LTD";"CN116911715A 
CN116911715B";"2023-09-12";"G06F16/29 
G06F18/25 
G06N20/00 
G06N3/045 
G06Q10/083";"G06F16/29 (CN) 
G06F18/25 (CN) 
G06N20/00 (CN) 
G06N3/045 (CN) 
G06Q10/083 (CN)";"2023-10-20 
2023-12-08";"2023-10-20";"088358737";
"253";"Network content risk control management system based on artificial intelligence mining";"LI RUIFAN 
HUANG YONGJUN 
CHEN QIAO";"BEIJING EASTCOM NETWORK TECH CO LTD";"CN116910603A";"2023-05-29";"G06F16/9532 
G06F16/955 
G06F18/24 
G06F21/57 
G06F21/64 
G06F40/30 
G06V20/40";"G06F16/9532 (CN) 
G06F16/955 (CN) 
G06F18/24 (CN) 
G06F21/577 (CN) 
G06F21/64 (CN) 
G06F40/30 (CN) 
G06V20/40 (CN)";"2023-10-20";"2023-10-20";"088351808";
"254";"E-commerce information pushing system, terminal and equipment based on artificial intelligence";"DAI XIAOQI 
YAO YUXIN 
WANG JINPING";"WUHAN YOUZHIZHE DIGITAL TECH CO LTD";"CN116911950A";"2023-07-27";"G06F16/906 
G06F16/9535 
G06Q30/0201 
G06Q30/0601";"G06F16/906 (CN) 
G06F16/9535 (CN) 
G06Q30/0201 (CN) 
G06Q30/0631 (CN) 
Y02D10/00 (EP)";"2023-10-20";"2023-10-20";"088352866";
"255";"College auxiliary bedroom checking device and method based on unmanned aerial vehicle and artificial intelligence";"LI DUOWEN 
YANG QUAN 
YAN HE 
WANG JUN 
PAN YONGFEI";"YUNQI WISDOM TECH CO LTD";"CN116935141A";"2023-08-07";"G05D1/10 
G06N3/0464 
G06N3/08 
G06Q50/20 
G06V10/764 
G06V10/774 
G06V10/82 
G06V20/17 
H04B7/185 
H04N23/50";"G06N3/0464 (CN) 
G06N3/08 (CN) 
G06Q50/20 (CN) 
G06V10/764 (CN) 
G06V10/774 (CN) 
G06V10/82 (CN) 
G06V20/17 (CN) 
H04B7/18502 (CN) 
H04N23/50 (CN) 
G06V2201/07 (CN)";"2023-10-24";"2023-10-24";"088387827";
"256";"E-commerce data protection method and system based on artificial intelligence";"LIAN SHAOCONG 
PAN JIA";"CHENGDU XIJIE TECH CO LTD";"CN116976894A";"2023-08-12";"G06F16/215 
G06F16/23 
G06F16/28 
G06F18/15 
G06F18/2433 
G06F21/60 
G06Q20/38 
H04L9/00";"G06F16/215 (CN) 
G06F16/2315 (CN) 
G06F16/285 (CN) 
G06F18/15 (CN) 
G06F18/2433 (CN) 
G06F21/602 (CN) 
G06Q20/382 (CN) 
H04L9/008 (CN)";"2023-10-31";"2023-10-31";"088483127";
"257";"AR/VR METHOD OF PROVIDING CUSTOMIZED SUBSCRIPTION E-COMMERCE PRODUCT PLATFORM FOR INFANTS AND TODDLERS BY EXTRACTING DATA ON AGE AND CONDITION OF INFANTS AND TODDLERS BASED ON AR/VR AND ANALYZING THEM WITH ARTIFICIAL INTELLIGENCE";"HONG YUN JUNG [KR]";"HONG YUN JUNG [KR]";"KR20230151129A";"2022-04-22";"G06N20/00 
G06N3/08 
G06Q30/06 
G06Q50/10 
G06T19/00 
G08B21/02 
G08B21/04 
G08B21/18";"G06N3/0455 (KR) 
G06N3/0464 (KR) 
G06Q30/0613 (KR) 
G06Q30/0621 (KR) 
G06Q30/0631 (KR) 
G06Q50/10 (KR) 
G06T19/003 (KR) 
G06T19/006 (KR) 
G08B21/0208 (KR) 
G08B21/0222 (KR) 
G08B21/0453 (KR) 
G08B21/18 (KR)";"2023-11-01";"2023-11-01";"088746338";
"258";"Digital Marketplace";"SIDHU GURPREET S [US] 
RAMACH MARK ALAN [US] 
NAVA JOHN [US] 
BERNS SCOTT [US]";"CENTURYLINK IP LLC [US]";"US2023351479A1";"2022-04-28";"G06Q10/083 
G06Q30/0601 
H04L41/0806 
H04L41/50";"G06Q10/083 (EP,US) 
G06Q30/0635 (EP,US) 
G06Q30/0641 (EP,US) 
H04L41/0806 (US) 
H04L41/50 (US) 
H04L41/5051 (EP) 
G06F3/0482 (US) 
G06F3/0484 (US)";"2023-11-02";"2023-11-02";"088512392";
"259";"Makeup skincare mirror based on artificial intelligence recognition and augmented reality technology and makeup skincare method";"WANG RUI";"WANG RUI";"CN116991240A";"2023-08-03";"A45D42/00 
A45D44/00 
G06F3/01 
G06F3/0488 
G06T19/00";"A45D42/00 (CN) 
A45D44/005 (CN) 
G06F3/011 (CN) 
G06F3/0488 (CN) 
G06T19/006 (CN) 
A45D2044/007 (CN)";"2023-11-03";"2023-11-03";"088522863";
"260";"Bank scene automatic processing method and system based on artificial intelligence";"CHEN SHENGMIAN 
HE XIN'AN 
LU WEIFENG 
ZHENG WEIQUN";"GUANGZHOU JIAXIN INTELLIGENT TECH CO LTD";"CN116993490A 
CN116993490B";"2023-08-15";"G06N3/006 
G06N3/048 
G06N3/08 
G06Q40/03";"G06N3/006 (CN) 
G06N3/048 (CN) 
G06N3/08 (CN) 
G06Q40/03 (CN) 
Y02D10/00 (EP)";"2023-11-03 
2024-03-01";"2023-11-03";"088530091";
"261";"Logistics distribution management system and method for electronic commerce";"WU QIANGSHUN 
XIAO SHENLI 
XIANG TAO";"ANHUI YUELAIYUEHAO ELECTRONIC COMMERCE CO LTD";"CN116993446A";"2023-08-07";"G06N3/045 
G06N3/0464 
G06Q10/083 
G06Q30/0601";"G06N3/045 (CN) 
G06N3/0464 (CN) 
G06Q10/083 (CN) 
G06Q30/0601 (CN)";"2023-11-03";"2023-11-03";"088529917";
"262";"Warehouse management system and method for electronic commerce";"WU QIANGSHUN 
WANG HAINAN 
ZHANG NING";"ANHUI YUELAIYUEHAO ELECTRONIC COMMERCE CO LTD";"CN117010799A";"2023-08-15";"G06F18/213 
G06F18/241 
G06F18/25 
G06N3/0464 
G06N3/08 
G06Q10/087 
G06Q30/0601";"G06F18/213 (CN) 
G06F18/241 (CN) 
G06F18/25 (CN) 
G06N3/0464 (CN) 
G06N3/08 (CN) 
G06Q10/087 (CN) 
G06Q30/0635 (CN)";"2023-11-07";"2023-11-07";"088568983";
"263";"LOCATION-AWARE DIGITAL BETTING PLATFORM TRANSACTION PROCESSING SYSTEMS AND METHODS";"WINSTON BRENT M [CA] 
JACKSON JOSHUA S [CA]";"BETSWAP LTD [IM]";"US2023360485A1";"2022-05-09";"G06Q50/34 
G07F17/32";"G06Q50/34 (EP,US) 
G07F17/323 (EP,US) 
G07F17/3239 (EP,US) 
G07F17/3288 (EP,US)";"2023-11-09";"2023-11-09";"088648178";
"264";"E-commerce transaction data processing method and system based on artificial intelligence";"LIN HUILI";"SHENZHEN HUANXIANG TECH CO LTD";"CN117035836A 
CN117035836B";"2023-10-08";"G06F18/10 
G06F18/232 
G06N3/094 
G06Q30/0201 
G06Q30/0203 
G06Q40/04";"G06F18/10 (CN) 
G06F18/232 (CN) 
G06N3/094 (CN) 
G06Q30/0203 (CN) 
G06Q30/0206 (CN) 
G06Q40/04 (CN)";"2023-11-10 
2024-09-13";"2023-11-10";"088635842";
"265";"Electronic information data association method and system based on artificial intelligence";"XIAO YANFEI";"XUANCHUANG GUANGZHOU NETWORK TECH CO LTD";"CN117056869A 
CN117056869B";"2023-10-11";"G06F18/26 
G06N5/025";"G06F18/26 (CN) 
G06N5/025 (CN) 
Y02P90/30 (EP)";"2023-11-14 
2024-09-13";"2023-11-14";"088659408";
"266";"ARTIFICIAL INTELLIGENCE (AI) ENABLED SYSTEM FOR 3D FACIAL MODELLING";"GOLOVATSKIY DMITRO";"FLEKS BRIKS SOFTUER EOOD [BG]";"BG4570U1";"2023-10-24";"G06T17/00";"";"2023-11-15";"2023-11-15";"089621435";
"267";"SYSTEM AND METHOD FOR PURCHASING CUSTOMIZED NON-FUNGIBLE TOKENS";"AMBROSE JOHN SEBASTIAN [US]";"AMBROSE JOHN SEBASTIAN [US]";"US2023368189A1";"2022-05-12";"G06Q10/02 
G06Q20/12 
G06Q20/38 
G06Q30/06 
H04L9/00";"G06Q10/02 (US) 
G06Q10/028 (EP) 
G06Q20/1235 (EP,US) 
G06Q20/3272 (EP,US) 
G06Q20/3276 (EP,US) 
G06Q20/38215 (EP,US) 
G06Q30/06 (EP,US) 
G06Q30/0641 (EP,US) 
H04L9/50 (EP,US)";"2023-11-16";"2023-11-16";"088699077";
"268";"Data analysis method, device and equipment applied to field of artificial intelligence";"LIN YUE";"TENCENT TECH SHENZHEN CO LTD";"CN117076962A 
CN117076962B";"2023-10-13";"G06F18/213 
G06F18/23 
G06F18/25";"G06F18/213 (CN) 
G06F18/23 (CN) 
G06F18/253 (CN)";"2023-11-17 
2024-01-26";"2023-11-17";"088702813";
"269";"E-commerce data information processing method and system based on artificial intelligence";"ZHANG WEI";"SHENZHEN HUANXIANG TECH CO LTD";"CN117078357A 
CN117078357B";"2023-10-08";"G06F18/243 
G06N3/048 
G06N3/082 
G06Q30/0601";"G06F18/24323 (CN) 
G06N3/048 (CN) 
G06N3/082 (CN) 
G06Q30/0601 (CN) 
Y02D10/00 (EP)";"2023-11-17 
2024-09-03";"2023-11-17";"088719734";
"270";"METHOD OF OPERATING GLOBAL E-COMMERCE PLATFORM THAT PROVIDE INFORMATION ON PRODUCTS PREFERRED BY USERS TO SELLERS BY ANALYZING DATA BASED ON ARTIFICIAL INTELLIGENCE";"KIM BAEK SEONG";"NEXTFLOW INC [KR]";"KR102687509B1 
KR20230158768A";"2022-05-12";"G06N20/00 
G06N3/08 
G06Q30/02 
G06Q30/06";"G06N20/00 (KR) 
G06N3/08 (KR) 
G06Q30/0202 (KR) 
G06Q30/0282 (KR) 
G06Q30/0619 (KR) 
G06Q30/0631 (KR) 
G06Q30/0633 (KR) 
G06Q30/0641 (KR)";"2023-11-21 
2024-07-24";"2023-11-21";"088981945";
"271";"Cross-platform intelligent commodity shelving method based on cross-border e-commerce";"GUO RUIFENG";"RUILAI TECH SHENZHEN CO LTD";"CN117094789A";"2023-08-11";"G06F40/226 
G06Q30/0601 
G06V20/00";"G06F40/226 (CN) 
G06Q30/0609 (CN) 
G06Q30/0621 (CN) 
G06V20/95 (CN)";"2023-11-21";"2023-11-21";"088776701";
"272";"Electronic commerce transaction big data cloud platform";"GONG LIANG";"WEIHAI OCEAN VOCATIONAL COLLEGE";"CN117093637A";"2023-09-06";"G06F16/22 
G06F16/25 
G06F16/27 
G06F21/60 
G06F21/64 
G06Q40/04";"G06F16/2228 (CN) 
G06F16/252 (CN) 
G06F16/27 (CN) 
G06F21/602 (CN) 
G06F21/64 (CN) 
G06Q40/04 (CN)";"2023-11-21";"2023-11-21";"088776792";
"273";"User identity unification method between different easy-to-purchase systems and ecological platforms";"ZHANG XU";"BEIJING KEMA XIANFENG INTERNET TECH CO LTD";"CN117151827A";"2023-09-21";"G06F21/31 
G06F21/60 
G06Q10/10 
G06Q30/0601";"G06F21/31 (CN) 
G06F21/604 (CN) 
G06Q10/103 (CN) 
G06Q30/0601 (CN)";"2023-12-01";"2023-12-01";"088902561";
"274";"Online franchise sales agency commerce seller system using AI";"HONG JONG HYUCK";"VISUALNET INC [KR] 
SEKYUNG INT [KR]";"KR102722904B1 
KR20230163633A";"2022-05-23";"G06Q50/30 
G06F16/33 
G06F16/332 
G06N20/00 
G06Q10/08 
G06Q30/02 
G06Q30/06 
G10L13/08 
G10L15/26 
H04L51/02 
H04L9/00 
G06Q50/50";"G06F16/3329 (KR) 
G06F16/3344 (KR) 
G06N20/00 (KR) 
G06Q10/083 (KR) 
G06Q10/087 (KR) 
G06Q30/0277 (KR) 
G06Q30/0281 (KR) 
G06Q30/0613 (KR) 
G06Q30/0633 (KR) 
G06Q30/0641 (KR) 
G06Q50/50 (KR) 
G10L13/08 (KR) 
G10L15/26 (KR) 
H04L51/02 (KR) 
H04L9/50 (KR) 
H04M7/006 (KR)";"2023-12-01 
2024-10-29";"2023-12-01";"089124634";
"275";"Product delivery optimization method and system for cross-border e-commerce platform";"LIU NING 
XIE JINJUN 
LUO YIHENG";"WESTWIN TECH SUZHOU CO LTD";"CN117196700A";"2023-09-25";"G06Q10/063 
G06Q30/0203 
G06Q30/0207 
G06Q30/0601";"Y02D10/00 (EP)";"2023-12-08";"2023-12-08";"089005133";
"276";"E-commerce platform system based on artificial intelligence";"HUANG GUOFENG 
SHEN XINJIE";"GUANGZHOU TAIDONG TECH CO LTD";"CN117196788A";"2023-10-08";"G06Q30/0601 
G06V10/44 
G06V20/70 
G06V40/20";"";"2023-12-08";"2023-12-08";"089005338";
"277";"Freight insurance service fee pricing method and device, electronic equipment and storage medium";"XU GUANGYONG 
YANG SENYUAN 
ZI HAO 
WANG JINLONG";"BAIDU ONLINE NETWORK TECHNOLOGY BEIJING CO LTD";"CN117217785A";"2023-08-18";"G06Q30/0201 
G06Q40/08";"";"2023-12-12";"2023-12-12";"089048765";
"278";"Digital culture and art ecological platform";"WU XIAOBING";"HUNAN RUYI CULTURE DEV CO LTD";"CN117217748A 
CN117217748B";"2023-09-14";"G06Q20/06 
G06Q20/12 
G06Q20/22 
G06Q20/36 
G06Q20/38 
G06Q20/40 
G06Q30/018 
G06Q30/0601 
G06Q30/08 
G06Q40/04";"";"2023-12-12 
2024-03-29";"2023-12-12";"089040187";
"279";"Information acquisition system, method and device in customer service scene, equipment and medium";"ZHANG YU'ANG";"TENCENT TECH SHENZHEN CO LTD";"CN117221644A";"2023-09-25";"G06Q50/00 
H04N21/431 
H04N21/478";"";"2023-12-12";"2023-12-12";"089049231";
"280";"E-commerce transaction system based on artificial intelligence calculation";"WU RONGMEI 
WANG ZONGBIN";"HUAINAN UNION UNIV HUAINAN EMPLOYEE UNIV HUAINAN BRANCH OF ANHUI OPEN UNIV";"CN117217913A";"2023-05-24";"G06F16/9535 
G06N3/0464 
G06N3/088 
G06N3/09 
G06Q30/0601 
G06Q40/04";"";"2023-12-12";"2023-12-12";"089046820";
"281";"System and Method for Automated Integration of Contextual Information with Content Displayed in a Display Space";"LEHMANN LAURA [US] 
TUNGKASIRI SORAT [US] 
SAH ADAM [US]";"PANGEE INC [US]";"US2023401620A1";"2022-06-10";"G06F16/9535 
G06Q30/0601";"G06F16/9535 (US) 
G06F16/954 (EP) 
G06Q30/0617 (EP,US)";"2023-12-14";"2023-12-14";"089077797";
"282";"Intelligent logistics transportation management system based on artificial intelligence";"LU CHUNLONG 
WU TING";"ANHUI YUANXING LOGISTICS CO LTD";"CN117273589A";"2023-10-12";"G06Q10/04 
G06Q10/083 
G06Q10/0833 
G06Q10/0835";"G06Q10/04 (CN) 
G06Q10/0833 (CN) 
G06Q10/08355 (CN) 
G06Q10/0838 (CN)";"2023-12-22";"2023-12-22";"089212237";
"283";"SYSTEM AND METHOD OF OPTIMIZING DIGITAL CATALOGS FOR ONLINE MARKETPLACES";"GUGLIELMI LORENZO [IT] 
GUARDALBEN GIOVANNI [IT]";"KIPCAST S R L [IT]";"WO2023247730A1";"2022-06-23";"G06Q30/06 
G06Q30/0601";"G06Q30/06 (EP) 
G06Q30/0603 (EP)";"2023-12-28";"2023-12-28";"087060530";
"284";"DYNAMIC PEER-TO-PEER DIGITAL MARKETPLACE AND ICONIC TRANSFER FRAMEWORK";"MOHAMED AYMAN MOMDOUH [US] 
SWEETBAUM JEFFREY [GB] 
WHITCOMB CAMBRIA [US]";"MOHAMED AYMAN MOMDOUH [US] 
SWEETBAUM JEFFREY [GB] 
WHITCOMB CAMBRIA [US]";"US2023419379A1";"2022-06-23";"G06Q30/06";"G06Q10/40 (EP,US) 
G06Q30/0601 (US) 
G06Q30/0609 (EP)";"2023-12-28";"2023-12-28";"089323215";
"285";"E-commerce product analysis method and system based on artificial intelligence, medium and computer";"ZHONG PANFENG 
CUI PEIGUANG 
LIN GUOHUI 
CHENG YONGSHI";"GUANGDONG NANYUE FENXIANGHUI HOLDINGS CO LTD";"CN117314546A 
CN117314546B";"2023-03-14";"G06F16/55 
G06N3/08 
G06Q30/0601 
G06V10/10 
G06V10/74 
G06V10/764 
G06V10/82";"G06F16/55 (CN) 
G06N3/08 (CN) 
G06Q30/0627 (CN) 
G06V10/16 (CN) 
G06V10/761 (CN) 
G06V10/764 (CN) 
G06V10/82 (CN) 
Y02D10/00 (EP)";"2023-12-29 
2024-07-09";"2023-12-29";"089254181";
"286";"METHOD, SYSTEM AND NON-TRANSITORY COMPUTER-READABLE RECORDING MEDIUM FOR AUTOMATICALLY IMPROVING AI MODEL PERFORMANCE";"SHIN EUN SEOP [KR] 
JO WON JONG [KR] 
CHO JEONG TAE [KR] 
LEE JI HUN [KR] 
CHOI HYUNG WON [KR] 
JANG YUN HUN [KR] 
PARK JUN CHEOL [KR]";"OMNIOUS CO LTD [KR]";"US2024037919A1";"2022-06-23";"G06V10/77 
G06V10/774 
G06V20/30 
G06V20/60 
G06V20/70";"G06Q10/0637 (KR) 
G06V10/70 (KR) 
G06V10/764 (KR) 
G06V10/7715 (US) 
G06V10/774 (EP,US) 
G06V20/30 (EP,US) 
G06V20/60 (KR,US) 
G06V20/70 (US) 
G06V40/10 (EP,KR)";"2024-02-01";"2024-01-02";"089512095";
"287";"Artificial intelligence-based big data demand prediction method and system for e-commerce platform";"SUN WEI";"GUANGZHOU JINGCUI INTELLIGENT TECH CO LTD";"CN117333262A";"2023-10-09";"G06Q30/0201 
G06Q30/0601";"G06Q30/0201 (CN) 
G06Q30/0601 (CN) 
G06Q30/0605 (CN) 
G06Q30/0611 (CN)";"2024-01-02";"2024-01-02";"089291378";
"288";"System and Method for Supporting an Integrated Healthcare Marketplace";"DARE AMOS O [US]";"DARE AMOS O [US]";"US2024006058A1";"2022-06-30";"G16H40/20 
G16H50/20";"G16H15/00 (EP) 
G16H40/20 (EP,US) 
G16H50/20 (EP,US) 
G16H50/70 (EP) 
G16H80/00 (EP) 
G16H10/60 (US)";"2024-01-04";"2024-01-04";"089433570";
"289";"E-commerce comment relation extraction method and device";"WANG JIAJI 
JIA ZHAOHUI 
BI YINGYING";"DINGDAO ZHILIAN BEIJING TECH CO LTD";"CN117350295A";"2023-10-31";"G06F40/295 
G06F40/30 
G06N5/02";"G06F40/295 (CN) 
G06F40/30 (CN) 
G06N5/027 (CN) 
Y02D10/00 (EP)";"2024-01-05";"2024-01-05";"089370891";
"290";"Rural digital service management platform based on artificial intelligence";"YUAN BINBIN";"ZHEJIANG MEIYUN DATA TECH CO LTD";"CN117408642A 
CN117408642B";"2023-12-12";"G06Q10/10 
G06Q30/0201 
G06Q30/0202 
G06Q50/26";"G06Q10/103 (CN) 
G06Q30/0202 (CN) 
G06Q30/0206 (CN) 
G06Q50/26 (CN)";"2024-01-16 
2024-03-19";"2024-01-16";"089492827";
"291";"e- The live e-commerce platform system that can translate market-specific languages based on artificial intelligence";"YIM JAE HEE [KR]";"YIM JAE HEE [KR]";"KR20240007561A";"2022-07-08";"G06F40/20 
G06F40/40 
G06N20/00 
G06Q30/06 
G10L15/26 
H04N21/2187 
H04N21/254 
H04N21/478";"G06F40/20 (KR) 
G06F40/40 (KR) 
G06N20/00 (KR) 
G06Q30/0613 (KR) 
G06Q30/0643 (KR) 
G10L15/26 (KR) 
H04N21/2187 (KR) 
H04N21/2542 (KR) 
H04N21/47815 (KR)";"2024-01-16";"2024-01-16";"089719711";
"292";"E-commerce system based on artificial intelligence";"LIU WEI 
HE YUCHUN 
FANG CHAO";"BEIJING ZHIYOU JIPIN TECH CO LTD";"CN117454009A";"2023-11-09";"G06F16/9535 
G06F16/957 
G06F16/958 
G06Q30/0601";"G06F16/9535 (CN) 
G06F16/957 (CN) 
G06F16/958 (CN) 
G06Q30/0631 (CN) 
G06Q30/0641 (CN)";"2024-01-26";"2024-01-26";"089587203";
"293";"Personalized commodity recommendation method and system based on time sequence diagram convolutional network";"YU YANWEI 
HU JIE 
DONG JUNYU";"OCEAN UNIV CHINA";"CN117474637A 
CN117474637B";"2023-12-28";"G06N3/042 
G06N3/0455 
G06N3/0464 
G06Q30/0601";"G06N3/042 (CN) 
G06N3/0455 (CN) 
G06N3/0464 (CN) 
G06Q30/0631 (CN) 
Y02P90/30 (EP)";"2024-01-30 
2024-04-16";"2024-01-30";"089640080";
"294";"Artificial intelligence platform based on e-commerce application";"JI ENHUI 
FANG PENGZHAN";"FOCUS TECH CO LTD";"CN117474630A";"2023-11-10";"G06F16/9535 
G06F16/9536 
G06Q30/0601";"G06F16/9535 (CN) 
G06F16/9536 (CN) 
G06Q30/0601 (CN) 
G06Q30/0631 (CN) 
Y02D10/00 (EP)";"2024-01-30";"2024-01-30";"089634565";
"295";"One-class recommender system with hinge pairwise distance loss and orthogonal representations";"RAZIPERCHIKOLAEI RAMIN [US]";"RAKUTEN GROUP INC [JP]";"TW202407610A 
TWI881345B";"2022-07-27";"G06N3/08 
G06Q30/02";"G06F18/214 (US) 
G06F18/22 (US) 
G06F18/2433 (US) 
G06N20/00 (EP) 
G06N5/022 (EP) 
G06Q30/0201 (EP) 
G06Q30/0271 (EP) 
G06Q30/0631 (EP)";"2024-02-16 
2025-04-21";"2024-02-01";"087426643";
"296";"SYSTEMS AND METHODS FOR PROVIDING PROCESS AUTOMATION AND ARTIFICIAL INTELLIGENCE, MARKET AGGREGATION, AND EMBEDDED MARKETPLACES FOR A TRANSACTIONS PLATFORM";"CELLA CHARLES HOWARD [US] 
CARDNO ANDREW [US] 
CHARON TAYLOR [US] 
BUNIN ANDREW [US] 
EL-TAHRY TEYMOUR [US] 
GOODMAN BEN [US] 
SHARP ANDREW [US] 
BLIVEN BRENT [US] 
PARENTI JENNA [US] 
FORTIN JR LEON [US] 
KELL BRAD [US] 
LOCKE ANDREW [US]";"STRONG FORCE TX PORTFOLIO 2018 LLC [US]";"US2025299255A1";"2022-07-25";"G06N20/00 
G06Q40/04";"G06N20/00 (US) 
G06Q10/04 (EP) 
G06Q30/0202 (EP) 
G06Q30/0206 (EP) 
G06Q30/06 (EP) 
G06Q40/04 (US)";"2025-09-25";"2024-02-01";"089707270";
"297";"Logistics information dynamic supervision method and system based on artificial intelligence";"LIU YUE 
WU SHOUKUN 
WANG HE 
YANG XUECHUN 
CHEN XINWEI 
MIAO RONGQIAN";"ANHUI SUIREN INTERNET OF THINGS TECH CO LTD";"CN117495230A";"2023-11-08";"G06F18/241 
G06Q10/083 
G06Q10/0833";"G06F18/241 (CN) 
G06Q10/083 (CN) 
G06Q10/0833 (CN) 
Y02P90/30 (EP)";"2024-02-02";"2024-02-02";"089684416";
"298";"Artificial intelligence e-commerce pushing system based on block chain and big data";"LI ZHENQIANG 
FU TINGTING 
WU YINGCAI 
LUO YONGMA";"HAINAN ZNB QUALITY OF SCIENT RESEARCH ACADEMY CO LTD";"CN117539881A";"2023-12-25";"G06F16/23 
G06F16/242 
G06F16/27 
G06Q20/38 
G06Q30/0251 
G06Q30/0601";"G06F16/2379 (CN) 
G06F16/242 (CN) 
G06F16/27 (CN) 
G06Q20/389 (CN) 
G06Q30/0255 (CN) 
G06Q30/0271 (CN) 
G06Q30/0631 (CN)";"2024-02-09";"2024-02-09";"089788245";
"299";"Artificial intelligence internet e-commerce device";"LI YONGQIANG";"ANHUI NENGTAN ENVIRONMENT TECH CO LTD";"CN220466136U";"2023-07-07";"A61L2/18 
B65D25/10 
B65D43/16 
B65D81/07 
B65D85/30";"";"2024-02-09";"2024-02-09";"089773471";
"300";"SYSTEM FOR ENABLING A VARIETY OF COMMERCIAL AND NON-COMMERCIAL TRANSACTIONS THROUGH CHATBOT SERVICE-DRIVEN COMMUNICATION SESSIONS WITHIN A SOCIAL CHAT AND E-COMMERCE NETWORK FRAMEWORK";"ANG CARLOS HANZYL [PH] 
REGUA HARLEY DAVIDSON [PH]";"AVIGATE INC [PH]";"PH12022050270A1";"2022-06-09";"G06Q30/06 
H04L51/02";"";"2024-02-12";"2024-02-12";"094477109";
