"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"21 844 results found for (nftxt = ""e-commerce"" OR nftxt = ""online ordering"" OR nftxt = ""digital marketplace"") AND (nftxt = ""product search"" OR nftxt = ""recommendation"" OR nftxt = ""personalization"" OR nftxt = ""shopping cart"" OR nftxt = ""checkout"" OR nftxt = ""order management"" OR nftxt = ""mobile ordering"")";"";"";"";"";"";"";"";"";
"null";"";"";"";"";"";"";"";"";
"Query language: en / de / fr";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"Filters: Earliest publication date (family): 2022-01-01 To 2026-12-31";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"120";"Compact recommendation optimization method based on foam purchase reduction";"DING ZHENGPING 
WANG FATENG 
LIU YEZHENG 
JIANG YUANCHUN 
SUN JIANSHAN";"FERTILIZER COMBINING INDUSTRIAL UNIV";"CN114187049A";"2021-12-14";"G06Q30/02 
G06Q30/06";"G06Q30/0207 (CN) 
G06Q30/0224 (CN) 
G06Q30/0601 (CN) 
G06Q30/0631 (CN)";"2022-03-15";"2022-03-15";"080543755";
"121";"E-commerce platform management system based on Internet";"JI XIAOBO";"JI XIAOBO";"CN116188102A";"2023-01-11";"G06F16/25 
G06Q30/0601";"G06F16/25 (CN) 
G06Q30/0631 (CN) 
G06Q30/0633 (CN) 
Y02D10/00 (EP)";"2023-05-30";"2023-05-30";"086439676";
"122";"Commodity recommendation method based on user behavior data and electronic commerce system";"WEI JIANFENG 
ZHANG RUIQI 
LIU ZHISEN 
BAI LI 
ZHANG WEI";"LINGYI CHUANGZAO HUANLE SHENZHEN TECH CO LTD";"CN116681488A";"2023-06-09";"G06F16/9535 
G06F18/22 
G06F40/30 
G06Q30/0601";"G06F16/9535 (CN) 
G06F18/22 (CN) 
G06F40/30 (CN) 
G06Q30/0631 (CN) 
Y02D10/00 (EP)";"2023-09-01";"2023-09-01";"087786908";
"123";"Artificial intelligence platform based on e-commerce application";"JI ENHUI 
FANG PENGZHAN";"FOCUS TECH CO LTD";"CN117474630A";"2023-11-10";"G06F16/9535 
G06F16/9536 
G06Q30/0601";"G06F16/9535 (CN) 
G06F16/9536 (CN) 
G06Q30/0601 (CN) 
G06Q30/0631 (CN) 
Y02D10/00 (EP)";"2024-01-30";"2024-01-30";"089634565";
"124";"E-commerce interaction method and system based on meta universe";"LIU YONGKUI 
ZOU BINGQUAN";"GUANGDONG SPACE COMPUTING TECH GROUP CO LTD";"CN118822688A";"2024-07-30";"G06F21/64 
G06Q10/087 
G06Q30/0601";"G06F21/64 (CN) 
G06Q10/087 (CN) 
G06Q30/0631 (CN) 
G06Q30/0635 (CN)";"2024-10-22";"2024-10-22";"093070924";
"125";"Information interaction method and device for cross-border e-commerce";"GU YUN 
XIE HONGXING";"YANGTENG INNOVATION FUJIAN INFORMATION TECH CO LTD";"CN119579288A";"2025-02-08";"G06F3/0483 
G06F3/0484 
G06Q30/0601";"G06F3/0483 (CN) 
G06F3/0484 (CN) 
G06Q30/0641 (CN)";"2025-03-07";"2025-03-07";"094801961";
"126";"Accurate customer obtaining method based on user behavior analysis";"QU XINYU 
TONG XING 
WU JINGWEN";"GUANGZHOU ARK CULTURE TECH CO LTD";"CN119250891A";"2024-09-20";"G06Q30/0204 
G06Q30/0601";"G06Q30/0204 (CN) 
G06Q30/0601 (CN) 
Y02D10/00 (EP)";"2025-01-03";"2025-01-03";"094033942";
"127";"Automatic purchasing method and device based on intelligent recommendation and electronic equipment";"WU CHENGCHENG 
WANG ZEYU 
ZHANG YE 
LIU BAOJU";"BEIJING BAIDU NETCOM SCI & TECH CO LTD";"CN119648332A";"2024-11-27";"G06F40/205 
G06F40/295 
G06Q20/12 
G06Q30/0207 
G06Q30/0601";"";"2025-03-18";"2025-03-18";"094945159";
"128";"Shopping Cart For Items Selected By An Account Holder Incented By A Donation To Conduct A Transaction";"TIETZEN TERRANCE PATRICK [CA] 
BALAN RICHARD M [CA]";"TIETZEN TERRANCE PATRICK [CA] 
BALAN RICHARD M [CA] 
EDATANETWORKS INC [CA]";"US12555156B2 
US2024412273A1";"2023-06-06";"G06Q20/40 
G06Q30/0279 
G06Q30/04 
G06Q30/0601 
G06Q30/00";"G06Q20/12 (EP) 
G06Q20/401 (EP) 
G06Q30/0279 (EP) 
G06Q30/04 (EP) 
G06Q30/0633 (EP,US)";"2024-12-12 
2026-02-17";"2024-12-12";"093744843";
"129";"一种基于大服务器容量的元宇宙交互式购物系统";"";"";"CN121883108A";"2023-04-04";"G06F21/60 
G06Q20/38 
G06Q20/40 
G06Q30/0601";"";"2026-04-17";"2026-04-17";"099399636";
"130";"E-commerce platform commodity recommendation method based on interest preference";"XIAO HANCHUN 
AN XUBIN 
WEI SHIHONG 
LI TUN 
XIAO YUNPENG 
WAN XIN 
ZHANG JIAN 
HU BOJIAN";"UNIV CHONGQING POSTS & TELECOM";"CN115311056A 
CN115311056B";"2022-08-23";"G06N3/04 
G06Q30/06 
G06F16/9535 
G06F16/958 
G06N3/08 
G06N3/042 
G06N3/045 
G06N3/0464 
G06N5/04 
G06Q30/0601";"G06F16/9535 (CN) 
G06F16/958 (CN) 
G06N3/08 (CN) 
G06Q30/0631 (CN)";"2022-11-08 
2026-02-13";"2022-11-08";"083865616";
"131";"Commodity recommendation method and system based on graph model";"ZHANG CHEN";"ZHEJIANG CHUANGLIN TECH CO LTD";"CN114049180A";"2021-12-13";"G06F16/9535 
G06Q30/06";"G06F16/9535 (CN) 
G06Q30/0631 (CN)";"2022-02-15";"2022-02-15";"080212717";
"132";"Method and device for generating recommendation list, electronic equipment and storage medium";"WANG ZHIYUAN";"CHINESE AGRICULTURAL BANK STOCK LTD COMPANY";"CN114418701A";"2022-01-26";"G06Q30/06";"G06Q30/0625 (CN) 
G06Q30/0631 (CN)";"2022-04-29";"2022-04-29";"081276698";
"133";"3 Apparatus and method for e-commerce providing three-dimensional images";"BAIK SEUNG IL [KR]";"BAIK SEUNG IL [KR]";"KR20230070593A";"2021-11-15";"G06Q30/06 
G06T17/00";"G06Q30/0631 (KR) 
G06Q30/0643 (KR) 
G06T17/00 (KR)";"2023-05-23";"2023-05-23";"086544779";
"134";"COMPUTER GENERATED PRICING AND PROMOTIONS FOR PERSONALIZED SALE OF AN ITEM";"NAGAR RAGHUVEER PRASAD [IN] 
JOSE REJI [IN] 
ARYA VIVEK [IN] 
SURI ARCHANA [IN]";"IBM [US]";"US2024104613A1";"2022-09-28";"G06Q30/02 
G06Q30/06";"G06Q10/42 (EP) 
G06Q30/0201 (EP,US) 
G06Q30/0269 (EP,US) 
G06Q30/0283 (EP,US) 
G06Q30/0631 (EP) 
G06Q30/0633 (EP,US)";"2024-03-28";"2024-03-28";"090359354";
"135";"E-commerce recommendation method and device based on real-time warehouse counting and recommendation model";"MA JUNCHAO 
ZHONG HONGJIANG 
ZHANG HAITANG 
YI HUAQIANG 
ZHANG JINTING 
JIN XIAOPENG";"UNIV SHENZHEN TECHNOLOGY";"CN117993995A";"2024-01-23";"G06F16/9535 
G06N3/045 
G06N3/048 
G06N3/08 
G06Q30/0601";"G06F16/9535 (CN) 
G06N3/045 (CN) 
G06N3/048 (CN) 
G06N3/08 (CN) 
G06Q30/0631 (CN)";"2024-05-07";"2024-05-07";"090888645";
"136";"Aggregated payment implementation method and terminal for automatically converting various payments into currencies for e-commerce platform";"CHEN HONGZHEN 
ZENG GUANGWEN 
GONG KAI 
HUANG XINJIE 
YAN CHENGHENG";"PEARL SEA FLASH BEE SCIENCE AND TECH LIMITED COMPANY";"CN114169874A";"2021-07-30";"G06F16/9537 
G06Q20/02 
G06Q20/08 
G06Q20/10 
G06Q20/12 
H04L67/52";"G06F16/9537 (CN) 
G06Q20/02 (CN) 
G06Q20/0855 (CN) 
G06Q20/10 (CN) 
G06Q20/12 (CN)";"2022-03-11";"2022-03-11";"080476486";
"137";"Cross-border e-commerce order management system based on presale data analysis";"LIN WENHUI 
LIN TIANGUI";"QUANZHOU FENGZE DISTR XINXING E COMMERCE CO LTD";"CN120196698A";"2025-03-14";"G06F16/29 
G06F16/9537 
G06F40/216 
G06F40/295 
G06Q30/0601 
H04L67/02";"G06F16/29 (CN) 
G06F16/9537 (CN) 
G06F40/216 (CN) 
G06F40/295 (CN) 
G06Q30/0635 (CN) 
H04L67/02 (CN)";"2025-06-24";"2025-06-24";"096073728";
"138";"Digital Marketplace";"SIDHU GURPREET S [US] 
RAMACH MARK ALAN [US] 
NAVA JOHN [US] 
BERNS SCOTT [US]";"CENTURYLINK IP LLC [US]";"US2023351479A1";"2022-04-28";"G06Q10/083 
G06Q30/0601 
H04L41/0806 
H04L41/50";"G06Q10/083 (EP,US) 
G06Q30/0635 (EP,US) 
G06Q30/0641 (EP,US) 
H04L41/0806 (US) 
H04L41/50 (US) 
H04L41/5051 (EP) 
G06F3/0482 (US) 
G06F3/0484 (US)";"2023-11-02";"2023-11-02";"088512392";
"139";"METHOD, RECORDING MEDIUM, AND DEVICE FOR PROVIDING WEB PAGE FOR PRODUCT";"LEE HAEYEON [KR] 
KANG JU EUN [KR] 
HUH NAEKYUNG [KR] 
LEE YEONSUNG [KR] 
GWAK JISU [KR] 
YIM ELAINE JI YUNG [KR]";"COUPANG CORP [KR]";"WO2025206501A1";"2024-03-27";"G06Q30/02 
G06Q30/06";"G06Q30/02 (EP) 
G06Q30/0208 (KR) 
G06Q30/06 (EP) 
G06Q30/0613 (KR) 
G06Q30/0631 (KR) 
G06Q30/0633 (KR) 
G06Q30/0641 (KR)";"2025-10-02";"2025-10-01";"097215658";
"140";"Mobile e-commerce cloud platform";"WANG YAN";"UNIV XIAN PEIHUA";"CN113988987A";"2021-11-04";"G06Q30/02 
G06Q30/06";"G06Q30/0201 (CN) 
G06Q30/0203 (CN) 
G06Q30/0601 (CN)";"2022-01-28";"2022-01-28";"079746341";
"141";"Big data mining method and system applied to online e-commerce platform";"GUO XUN 
WANG DONGHAO";"SHAANXI HUILAN SHIJIANG COMMERCE AND TRADE CO LTD";"CN115757978A";"2022-12-20";"G06F16/9535 
G06N3/04 
G06Q30/0601";"Y02D10/00 (EP)";"2023-03-07";"2023-03-07";"085347170";
"142";"E-commerce user behavior analysis method and system based on data mining";"ZHANG YUNFEI 
ZHANG LIANGLONG 
CUI LIKUI";"NANJING MAIJIA E COMMERCE CO LTD";"CN118134608A 
CN118134608B";"2024-05-06";"G06Q30/0601";"G06Q30/0629 (CN) 
G06Q30/0631 (CN) 
G06Q30/0643 (CN) 
Y02D10/00 (EP)";"2024-06-04 
2024-07-09";"2024-06-04";"091243207";
"143";"Self-service selling system for scattered market applets and use method";"WU YONG";"SHANGHAI YUNLIAN TECH CO LTD";"CN120452098A";"2025-06-16";"G07F9/00";"";"2025-08-08";"2025-08-08";"096609311";
"144";"Commodity information recommendation method and device, electronic equipment and computer readable medium";"WANG YUZHAN 
WANG WENBIN";"BEIJING JINGDONG TUOXIAN TECH CO LTD";"CN120181964A";"2025-03-13";"G06Q30/0601";"G06Q30/0631 (CN) 
G06Q30/0643 (CN)";"2025-06-20";"2025-06-20";"096043209";
"145";"Cross-border e-commerce intelligent website building system based on AI";"LIU LIRUI";"GUANGZHOU LIANYA NETWORK TECH CO LTD";"CN121352843A";"2025-09-25";"G06F18/23213 
G06F18/25 
G06N3/045 
G06N3/0475 
G06N3/094 
G06Q10/0835 
G06Q10/087 
G06Q30/0201";"";"2026-01-16";"2026-01-16";"098399457";
"146";"Cross-border e-commerce order management method based on cloud data analysis";"TANG ZAIPING 
WANG WEI 
GUI FENG";"HEFEI AILIN GERUI INTELLIGENT TECH CO LTD";"CN118586981A";"2024-06-06";"G06F18/10 
G06F18/23 
G06F18/243 
G06N3/0442 
G06N3/0464 
G06N3/08 
G06Q10/0831 
G06Q10/087 
G06Q30/0601";"G06F18/10 (CN) 
G06F18/23 (CN) 
G06F18/24323 (CN) 
G06N3/0442 (CN) 
G06N3/0464 (CN) 
G06N3/08 (CN) 
G06Q10/0831 (CN) 
G06Q10/087 (CN) 
G06Q30/0635 (CN) 
Y02D10/00 (EP)";"2024-09-03";"2024-09-03";"092528147";
"147";"Real scene remote shopping system and method";"WANG YING";"SHENZHEN SECOND PEOPLES HOSPITAL SHENZHEN INST OF TRANSLATIONAL MEDICINE";"CN115526682A";"2022-09-18";"B62B3/00 
B62B5/00 
G06Q10/04 
G06Q10/06 
G06Q30/06 
H04L9/40";"B62B3/00 (CN) 
B62B5/00 (CN) 
G06Q10/047 (CN) 
G06Q10/0633 (CN) 
G06Q30/0635 (CN) 
G06Q30/0639 (CN) 
G06Q30/0643 (CN) 
H04L63/0876 (CN) 
H04L63/105 (CN)";"2022-12-27";"2022-12-27";"084697959";
"148";"E-commerce design optimization method and system based on instant data";"TAN HUI";"HUNAN YIRUI CULTURAL DEV CO LTD";"CN118628205A";"2024-06-12";"G06F16/9535 
G06F16/958 
G06Q30/0601";"G06F16/9535 (CN) 
G06F16/958 (CN) 
G06Q30/0631 (CN) 
G06Q30/0641 (CN)";"2024-09-10";"2024-09-10";"092609255";
"149";"Electronic commerce intelligent recommendation system based on big data";"ZHANG XING 
ZHANG GE 
FANG YUCHAO 
LIU XIANGCHAO";"YUNNAN HUAWU TECH CO LTD";"CN118840138A";"2024-07-19";"G06Q30/0201 
G06Q30/0202 
G06Q30/0601";"G06Q30/0201 (CN) 
G06Q30/0202 (CN) 
G06Q30/0631 (CN) 
Y02D10/00 (EP)";"2024-10-25";"2024-10-25";"093142005";
"150";"An e-commerce platform capable of providing goods transaction functions and additional services";"LEE YONG HYUK";"WEFRIEN CORP [KR]";"KR20230111763A";"2022-01-19";"G06F16/951 
G06Q30/02 
G06Q30/06";"G06F16/951 (KR) 
G06Q30/0222 (KR) 
G06Q30/0281 (KR) 
G06Q30/0283 (KR) 
G06Q30/0613 (KR) 
G06Q30/0633 (KR) 
G06Q30/0641 (KR)";"2023-07-26";"2023-07-26";"087427849";
"151";"SYSTEM AND METHOD FOR POPULATING WEB-BASED FORMS AND MANAGING E-COMMERCE CHECKOUT PROCESS";"SENTHIL KUMAR N [US]";"1CLICKPAY INC [US]";"US11532031B2 
US2022222735A1";"2021-01-08";"G06F16/951 
G06F40/174 
G06Q30/06 
H04L67/1396 
G06F40/194";"G06F16/951 (US) 
G06F40/174 (EP,US) 
G06Q30/0635 (EP,US) 
G06Q30/0637 (EP,US) 
G06Q30/0643 (EP,US) 
H04L67/02 (EP) 
H04L67/1396 (US) 
H04L67/306 (EP) 
H04L67/535 (EP) 
G06F40/194 (US) 
H04L67/53 (EP)";"2022-07-14 
2022-12-20";"2022-07-14";"082321975";
"152";"E-commerce platform personalized clothing recommendation method and system based on artificial intelligence";"CHEN YU 
REN YI 
GU YITING 
LI XIAOFEI";"UNIV XIAMEN TECHNOLOGY";"CN118628214A 
CN118628214B";"2024-08-13";"G06F18/213 
G06F18/23213 
G06F18/24 
G06N3/042 
G06N3/0464 
G06N3/08 
G06Q30/0201 
G06Q30/0601";"G06F18/213 (CN) 
G06F18/23213 (CN) 
G06F18/24 (CN) 
G06N3/042 (CN) 
G06N3/0464 (CN) 
G06N3/08 (CN) 
G06Q30/0201 (CN) 
G06Q30/0631 (CN)";"2024-09-10 
2024-11-05";"2024-09-10";"092596484";
"153";"E-commerce platform data analysis system based on cloud computing";"LI KE";"XUZHOU WENSHUO INFORMATION TECH CO LTD";"CN115423553A";"2022-08-26";"G06Q30/06 
G07G1/00";"G06Q30/0631 (CN) 
G06Q30/0643 (CN) 
G07G1/0018 (CN)";"2022-12-02";"2022-12-02";"084200410";
"154";"Saas cloud-based e-commerce system, e-commerce data processing method, device and equipment";"GUO YUANLI";"DEFINITION OCEAN ENTERPRISE DEVELOPMENT SHANGHAI LTD COMPANY";"CN114169960A";"2021-11-22";"G06Q30/02 
G06Q30/06";"G06Q30/0201 (CN) 
G06Q30/0631 (CN)";"2022-03-11";"2022-03-11";"080480015";
"155";"E-commerce system based on artificial intelligence";"LIU WEI 
HE YUCHUN 
FANG CHAO";"BEIJING ZHIYOU JIPIN TECH CO LTD";"CN117454009A";"2023-11-09";"G06F16/9535 
G06F16/957 
G06F16/958 
G06Q30/0601";"G06F16/9535 (CN) 
G06F16/957 (CN) 
G06F16/958 (CN) 
G06Q30/0631 (CN) 
G06Q30/0641 (CN)";"2024-01-26";"2024-01-26";"089587203";
"156";"MULTI-CHANNEL AUTHENTICATION USING DELEGATED CREDENTIALS";"GHORBANI SIAVASH [CA] 
RIVERA CARL [US]";"SHOPIFY INC [CA]";"US20260030626A1";"2021-04-29";"G06Q20/32 
G06Q20/36 
G06Q20/38 
G06Q20/40 
G06Q30/0601 
H04L9/40";"G06Q20/12 (EP) 
G06Q20/322 (US) 
G06Q20/326 (EP,US) 
G06Q20/3674 (US) 
G06Q20/40 (US) 
G06Q20/42 (EP) 
G06Q30/0633 (EP,US) 
H04L63/08 (EP,US) 
H04W12/06 (EP) 
H04W12/69 (EP) 
G06Q20/3821 (US) 
H04L2463/102 (EP) 
H04L2463/121 (EP)";"2026-01-29";"2022-11-03";"083807671";
"157";"Search recommendation method and device and equipment";"SHI JINGCHENG 
DA QING 
ZENG ANXIANG";"ALIBABA GROUP HOLDING LTD";"CN114065015A 
CN114065015B";"2020-07-31";"G06F16/9535";"G06F16/9535 (CN)";"2022-02-18 
2026-01-06";"2022-02-18";"080227796";
"158";"Recommender-based e-commerce transaction system and method";"ZHAO XUEFENG 
ZHAO YIYI";"ZHAO YIYI";"CN120952871A";"2025-08-01";"G06Q30/0214 
G06Q30/0601";"G06Q30/0214 (CN) 
G06Q30/0601 (CN) 
G06Q30/0631 (CN)";"2025-11-14";"2025-11-14";"097617879";
"159";"Generative adversarial network-based e-commerce platform marketing strategy generation method";"LIU YUXIANG 
SUN LIZHI";"XIANGXING MEDIA JIANGSU CO LTD";"CN120689082A";"2025-06-19";"G06F18/214 
G06F18/231 
G06F18/25 
G06N3/006 
G06N3/0442 
G06N3/045 
G06N3/0475 
G06N3/084 
G06N3/09 
G06N3/094 
G06N5/01 
G06Q30/0201 
G06Q30/0202 
G06Q30/0601 
G06F123/02";"G06F18/214 (CN) 
G06F18/231 (CN) 
G06F18/253 (CN) 
G06N3/006 (CN) 
G06N3/0442 (CN) 
G06N3/045 (CN) 
G06N3/0475 (CN) 
G06N3/084 (CN) 
G06N3/09 (CN) 
G06N3/094 (CN) 
G06N5/01 (CN) 
G06Q30/0201 (CN) 
G06Q30/0202 (CN) 
G06Q30/0631 (CN) 
G06F2123/02 (CN)";"2025-09-23";"2025-09-23";"097070626";
"160";"一种基于多维度决策的电商支付方式智能推荐系统及方法";"";"";"CN121883002A";"2025-12-30";"G06Q20/08 
G06Q20/12 
G06Q20/22 
G06Q20/40";"";"2026-04-17";"2026-04-17";"099415347";
"161";"Commodity recommendation system based on actionable high utility negative sequential rules mining and its working method";"DONG XIANGJUN [CN] 
ZHANG MENGJIAO [CN]";"UNIV QILU TECHNOLOGY [CN]";"US2022058716A1";"2020-08-18";"G06F16/23 
G06F16/2458 
G06F16/25 
G06Q10/08 
G06Q30/02 
G06Q30/06";"G06F16/2255 (KR) 
G06F16/2379 (US) 
G06F16/24565 (KR) 
G06F16/2465 (EP,KR,US) 
G06F16/258 (US) 
G06F16/9535 (KR) 
G06Q10/087 (EP,KR,US) 
G06Q30/0201 (EP,KR,US) 
G06Q30/0204 (EP,US) 
G06Q30/0631 (EP,KR,US) 
G06Q30/0633 (EP,US) 
G06Q30/0641 (KR) 
H04L67/12 (EP,US) 
H04L67/535 (EP)";"2022-02-24";"2022-02-18";"080270011";
"162";"Search word recommendation method and device and storage medium";"LIU SEN 
LUO ZHAOHUI 
JIN LINBO";"ALIBUS CHINA CO LTD";"CN114168843A 
CN114168843B";"2021-11-05";"G06Q30/06 
G06F16/9535 
G06F16/9538 
G06F3/04842 
G06F3/04847 
G06F40/216 
G06F9/451 
G06Q30/0601";"G06F16/9535 (CN) 
G06F16/9538 (CN) 
G06F3/04842 (CN) 
G06F3/04847 (CN) 
G06F40/216 (CN) 
G06F9/451 (CN) 
G06Q30/0631 (CN)";"2022-03-11 
2024-10-18";"2022-03-11";"080478125";
"163";"Big data private domain accurate user pushing method";"LI YANG";"GUANGZHOU TAOXIN INFORMATION TECH CO LTD";"CN119477472A 
CN119477472B";"2024-11-11";"G06F16/906 
G06F16/9537 
G06F40/247 
G06F40/30 
G06N3/0455 
G06N3/0464 
G06Q30/0251 
G06Q30/0601 
H04L67/306 
H04L67/55";"G06F16/906 (CN) 
G06F16/9537 (CN) 
G06F40/247 (CN) 
G06F40/30 (CN) 
G06N3/0455 (CN) 
G06N3/0464 (CN) 
G06Q30/0255 (CN) 
G06Q30/0256 (CN) 
G06Q30/0271 (CN) 
G06Q30/0631 (CN) 
H04L67/306 (CN) 
H04L67/55 (CN)";"2025-02-18 
2025-08-05";"2025-02-18";"094574401";
"164";"E-commerce scene cold start recommendation method combining meta-learning and causal inference";"ZHENG XIN";"UNIV MINNAN SCIENCE & TECHNOLOGY";"CN119741096A 
CN119741096B";"2025-03-03";"G06N3/0499 
G06N3/084 
G06N3/096 
G06N3/0985 
G06N5/025 
G06N5/04 
G06Q30/0601";"";"2025-04-01 
2025-06-20";"2025-04-01";"095130313";
"165";"E-commerce purchasing method based on intelligent software robot";"SHAO XIA 
LI JIN 
ZHAO GUOBO 
WU DI 
LEI YU 
LIU KAI 
CHEN MINGSHAN 
DAI ZHENHUA 
LI BO 
LUO LINFENG 
CHENG ZHUO";"EZHOU POWER SUPPLY COMPANY OF STATE GRID HUBEI ELECTRIC POWER CO LTD";"CN116664221A";"2023-04-22";"G06Q30/0601";"G06Q30/0601 (CN) 
G06Q30/0641 (CN)";"2023-08-29";"2023-08-29";"087726939";
"166";"Intelligent management and control method and device for leasing shopping cart, and computer storage medium";"HE ZELIN 
YOU RUILAN 
WU JIANGWEN 
MO JIANCHENG";"GUANGZHOU YANQU INFORMATION TECH CO LTD";"CN120931374A";"2025-07-23";"G06Q10/087 
G06Q30/0601 
G06Q30/0645";"G06Q10/087 (CN) 
G06Q30/0609 (CN) 
G06Q30/0637 (CN) 
G06Q30/0645 (CN)";"2025-11-11";"2025-11-11";"097583085";
"167";"Independent station commodity recommendation method and device, equipment and medium";"XU JINTIAN";"GUANGZHOU SHANGYAN NETWORK TECH CO LTD";"CN117350816A";"2023-10-24";"G06F18/213 
G06F40/289 
G06N3/042 
G06N3/045 
G06N3/048 
G06N3/084 
G06N3/09 
G06Q30/0601";"G06F18/213 (CN) 
G06F40/289 (CN) 
G06N3/042 (CN) 
G06N3/045 (CN) 
G06N3/048 (CN) 
G06N3/084 (CN) 
G06N3/09 (CN) 
G06Q30/0631 (CN) 
Y02D10/00 (EP)";"2024-01-05";"2024-01-05";"089366380";
"168";"SYSTEMS AND METHODS FOR E-COMMERCE CHECKOUT WITH DELAY LOADING OF CHECKOUT OPTIONS";"YIN WEIYI [US] 
MEHTA TEJAS [CA] 
TZAVELAS GEORGE [CA] 
GARGUL ANDREY [CA] 
DAMUS LINDA [CA]";"SHOPIFY INC [CA]";"US11853981B2 
US2023063784A1";"2021-09-02";"G06F3/0482 
G06F9/451 
G06Q20/08 
G06Q10/083 
G06Q20/12 
G06Q30/0601";"G06F16/3331 (KR) 
G06F3/0482 (US) 
G06F9/451 (US) 
G06Q10/083 (KR) 
G06Q20/02 (KR) 
G06Q20/0855 (US) 
G06Q20/405 (KR) 
G06Q30/0641 (EP) 
G06Q10/083 (US) 
G06Q20/12 (US) 
G06Q30/0601 (KR) 
G06Q30/0641 (US)";"2023-03-02 
2023-12-26";"2023-03-02";"081648222";
"169";"UNIFIED SHOPPING AND CHECKOUT SYSTEM AND METHOD FOR A MULTIPLE MERCHANT E-COMMERCE PLATFORM";"CABRERA NICHOLAS [US] 
VELAZQUEZ SERGIO [US]";"CABRERA NICHOLAS [US] 
VELAZQUEZ SERGIO [US]";"US20260127657A1";"2024-11-06";"G06Q30/0601";"G06Q30/06333 (US) 
G06Q30/0641 (US)";"2026-05-07";"2026-05-07";"099635816";
"170";"E-commerce platform commodity information display system and method based on artificial intelligence";"WEI JIANHUA";"HUAXIA WEN GUANG MEDIA GROUP CO LTD";"CN113988965A";"2021-09-28";"G06F16/9535 
G06F16/957 
G06Q30/06";"G06F16/9535 (CN) 
G06F16/957 (CN) 
G06Q30/0631 (CN) 
G06Q30/0643 (CN)";"2022-01-28";"2022-01-28";"079737073";
"171";"User analysis method and system based on big data, product and medium";"LI JIAN";"BUYILEHU YOUPENG BEIJING TECH CO LTD";"CN119904255A";"2024-12-11";"G06F18/22 
G06F18/23213 
G06F18/24 
G06F18/25 
G06N3/0442 
G06N3/0464 
G06N3/08 
G06Q30/0201 
G06Q30/0207 
G06Q30/0601";"G06F18/22 (CN) 
G06F18/23213 (CN) 
G06F18/24 (CN) 
G06F18/253 (CN) 
G06N3/0442 (CN) 
G06N3/0464 (CN) 
G06N3/08 (CN) 
G06Q30/0201 (CN) 
G06Q30/0207 (CN) 
G06Q30/0601 (CN) 
G06Q30/0631 (CN)";"2025-04-29";"2025-04-29";"095469066";
"172";"E-commerce platform system supporting multi-type commodity and service publishing and order processing";"ZHAO LIYING";"BEIJING QIANSHIHUI EDUCATION TECH CO LTD";"CN121437092A";"2025-10-20";"G06F16/22 
G06F8/30 
G06F8/70 
G06Q30/0601 
G06Q50/20";"";"2026-01-30";"2026-01-30";"098531191";
"173";"E-commerce commodity recommendation method based on big data";"LIU BOCONG 
ZHOU MENGJIAO 
GUO YU 
LIN LI";"SHENZHEN WEIYING TECH CO LTD";"CN120952921A";"2025-09-16";"G06F18/213 
G06F18/22 
G06F18/25 
G06N5/02 
G06Q30/0601";"G06F18/213 (CN) 
G06F18/22 (CN) 
G06F18/253 (CN) 
G06N5/02 (CN) 
G06Q30/0631 (CN)";"2025-11-14";"2025-11-14";"097622381";
"174";"E-commerce personalized recommendation method based on big data";"YE XIANG";"HANGZHOU LIGUAN TECH CO LTD";"CN119205276A 
CN119205276B";"2024-05-22";"G06Q30/0601";"G06Q30/0631 (CN) 
Y02D10/00 (EP)";"2024-12-27 
2025-04-22";"2024-09-03";"092525408";
"175";"METHOD, APPARATUS, AND RECORDING MEDIUM OF ENCOURAGING SIGN-UP FOR MEMBERSHIP OF E-COMMERCE SERVICE";"CHANG CATHERINE [KR] 
YOON MINJI [KR]";"COUPANG CORP [KR]";"WO2025058123A1";"2023-09-14";"G06Q30/02 
G06Q30/06";"G06Q30/02 (EP) 
G06Q30/0213 (KR) 
G06Q30/0247 (KR) 
G06Q30/0255 (KR) 
G06Q30/06 (EP) 
G06Q30/0633 (KR)";"2025-03-20";"2025-03-16";"095021490";
"176";"Cross-border e-commerce platform operation management system";"ZHU XIAOGUANG";"SUQIAN COLLEGE";"CN119558796A";"2024-11-19";"G06F18/10 
G06F18/2135 
G06F18/23 
G06F18/26 
G06Q10/10 
G06Q30/0202 
G06Q30/0601";"G06F18/10 (CN) 
G06F18/2135 (CN) 
G06F18/23 (CN) 
G06F18/26 (CN) 
G06Q10/103 (CN) 
G06Q30/0202 (CN) 
G06Q30/0601 (CN) 
G06Q30/0641 (CN)";"2025-03-04";"2025-03-04";"094737499";
