"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Wu J.; Wang X.; Chen L.; He Y.","Wu, Jianghua (59971850000); Wang, Xin (58545274300); Chen, Longdi (59133534300); He, Yuhong (56953763000)","59971850000; 58545274300; 59133534300; 56953763000","Blockchain adoption to eliminate dispute in platform-supplier cooperative delivery","2024","Computers and Industrial Engineering","192","","110227","","","6","10.1016/j.cie.2024.110227","https://www.scopus.com/pages/publications/85193538884?origin=resultslist","School of Business, Renmin University of China, Beijing, 100872, China; College of Business and Economics, California State University, Fullerton, 92831, CA, United States","Wu J., School of Business, Renmin University of China, Beijing, 100872, China; Wang X., School of Business, Renmin University of China, Beijing, 100872, China; Chen L., School of Business, Renmin University of China, Beijing, 100872, China; He Y., College of Business and Economics, California State University, Fullerton, 92831, CA, United States","Inefficient delivery services undermine consumers’ online shopping experience, posing a crucial challenge for e-commerce platforms and suppliers. In a platform-supplier cooperative delivery system, the issue of unclear responsibility for quality defects often arises. By utilizing real-time traceability enabled by blockchain, the platform can promptly identify supplier delivery accidents and return defective products directly to the supplier. This blockchain-enabled return mechanism could significantly reduce disputes in cooperative delivery processes. We develop a game theoretical model to analyze delivery strategies in supply chains with and without blockchain, and further examine the impact of blockchain on members’ delivery services and their profits. Our analysis indicates that blockchain incentivizes the platform to conduct high-level delivery services. However, it may either encourage or discourage the supplier's provision of high-level delivery services. Moreover, blockchain acts as a double-edged sword in the supply chain, enhancing consumer satisfaction while also increasing wholesale prices. The interaction between these two effects determines whether blockchain negatively impacts on the supply chain's profit, with the disposal cost of returned products by the supplier playing a crucial role. When the supplier's disposal cost is relatively high, blockchain may result in supply chain members being worse off, despite its enhancement of consumer satisfaction. Furthermore, we find that blockchain enhances both the delivery service level and the profit of the supply chain if neither the supplier's disposal cost nor the platform's cost of high-level service are high. This study provides valuable insights into the potential benefits and challenges associated with blockchain adoption in cooperative delivery systems. © 2024 Elsevier Ltd","Blockchain; Cooperation; Delivery service; E-commerce platform","Costs; Defects; Electronic commerce; Game theory; Profitability; Supply chains; Block-chain; Commerce platforms; Consumer satisfactions; Cooperation; Delivery service; Delivery systems; Disposal costs; E- commerces; E-commerce platform; Online shopping; Blockchain","X. Wang; School of Business, Renmin University of China, Beijing, 100872, China; email: arielwang96@ruc.edu.cn","","Elsevier Ltd","03608352","","CINDD","","English","Comput Ind Eng","Article","Final","","Scopus","2-s2.0-85193538884"
"Dong C.; Huang Q.; Fang D.","Dong, Ciwei (56612672900); Huang, Qianzhi (58062423400); Fang, Debin (8084884000)","56612672900; 58062423400; 8084884000","Channel selection and pricing strategy with supply chain finance and blockchain","2023","International Journal of Production Economics","265","","109006","","","67","10.1016/j.ijpe.2023.109006","https://www.scopus.com/pages/publications/85166915026?origin=resultslist","School of Business Administration, Zhongnan University of Economics and Law, Wuhan, 430073, China; School of Economics and Management, Wuhan University, Wuhan, 430072, China; State Key Laboratory of Water Resources and Hydropower Engineering, Wuhan, 430072, China","Dong C., School of Business Administration, Zhongnan University of Economics and Law, Wuhan, 430073, China; Huang Q., School of Business Administration, Zhongnan University of Economics and Law, Wuhan, 430073, China; Fang D., School of Economics and Management, Wuhan University, Wuhan, 430072, China, State Key Laboratory of Water Resources and Hydropower Engineering, Wuhan, 430072, China","Some emerge technologies (e.g., blockchain) and new business models (e.g., e-commerce platform) are utilized to promote the digitalization of supply chains. In this paper, we study the channel selection (direct channel/e-commerce platform) and pricing (wholesale pricing/agency pricing) strategies for a capital constrained supplier in the digital supply chain with the consideration of supply chain finance and blockchain. The supplier can sell through the direct channel or the e-commerce platform. When selling through the e-commerce platform, it can choose agency pricing or wholesale pricing mode, as well as whether to obtain financial supports through supply chain finance with blockchain technology. We show that the application of supply chain finance is not always beneficial for the supplier. The initial capital of the supplier plays an important role in channel selection. Besides, the adoption of blockchain technology can promote the development of supply chain finance. Regardless of wholesale pricing or agency pricing, the adoption of blockchain technology is always beneficial to suppliers. However, for the e-commerce platform, the adoption of blockchain technology can bring an increase in the interest and increase the profits of the e-commerce platform, only when the initial capital of the supplier is relatively low. © 2023 Elsevier B.V.","Blockchain; Channel selection; Digitalization; Pricing; Supply chain finance","Blockchain; Electronic commerce; Supply chains; Block-chain; Channel selection; Commerce platforms; Digitalization; Direct channel; E- commerces; New business models; Pricing strategy; Supply chain finances; Wholesale pricing; Costs","D. Fang; School of Economics and Management, Wuhan University, Wuhan, 430072, China; email: dbfang@whu.edu.cn","","Elsevier B.V.","09255273","","IJPCE","","English","Int J Prod Econ","Article","Final","","Scopus","2-s2.0-85166915026"
"Liang X.; Liang L.","Liang, Xi (43261393100); Liang, Lunhai (57206480855)","43261393100; 57206480855","Manufacturer's channel structure choice: The impact of channel operating costs","2018","IPPTA: Quarterly Journal of Indian Pulp and Paper Technical Association","30","8","","820","839","0","","https://www.scopus.com/pages/publications/85061704279?origin=resultslist","School of Economics and Management, Chongqing Jiaotong University, Chongqing, 400074, China","Liang X., School of Economics and Management, Chongqing Jiaotong University, Chongqing, 400074, China; Liang L., School of Economics and Management, Chongqing Jiaotong University, Chongqing, 400074, China","In asymmetric fingerprinting, the merchant can trace the traitors from a pirated copy by means of the embedded unique fingerprint, while the customer is immune of being framed due to the asymmetric property. With market competition intensifies and e-commerce development models change, online sales model selection is becoming more and more important for multi-channel manufacturers. In this paper, we use a linear demand model to study a manufacturer's channel structure choice and pricing strategy in supply chain comprise a dominant multi-channel manufacturer , a traditional retailer and an online retailer. To this end, we first derive the optimal pricing decisions under all three possible channel structures: Direct selling dual-channel, Online reselling dual-channel and Agency selling dual-channel. We then investigate the impact of channel operating costs on optimal channel selection and pricing decisions for manufacturer. Our findings include the following. First, with the increase of offline channel operating costs, the retail price increases and wholesale price decreases in the offline channel, while the online retail price is uncertain. With the increase of online channel operating costs, all the retail price increases in the direct selling and distribution modes, while the offline wholesale price remains unchanged. While market pricing is not affected in the agency selling mode. Second, when the online channel operating costs is lower than a certain value, manufacturers can increase their benefits by setting online channels, and the upper limit value of channel operation costs is different under different dual-channel structures. Third, when the online channel operating costs are equal, in order to maximize profits, the manufacturer will choose agency selling firstly, then direct selling, and the reselling mode least. When the online channel operating costs are different, the difference between different modes of online operating costs will be an important influencing factor for manufacturers to make channel selection decisions. © Indian Pulp and Paper Technical Association 2018. All rights reserved.","Channel operating cost; Channel selection; Dual-channel; Manufacturer; Pricing","Competition; Increments; Manufacturers; Marketing; Operating Costs; Sales; Selection; Competition; Electronic commerce; Manufacture; Operating costs; Sales; Supply chains; Channel selection; Distribution modes; Dual channel; Dual-channel structures; E-commerce development; Manufacturer; Market competition; Optimal channel selections; Costs","","","Indian Pulp and Paper Technical Association","03795462","","IPPTD","","English","IPPTA","Article","Final","","Scopus","2-s2.0-85061704279"
"Li H.; Li X.; Cao Y.; Tang Y.","Li, Hai (59893648500); Li, Xiaoting (60508365800); Cao, Yu (59170060100); Tang, Yao (57218691821)","59893648500; 60508365800; 59170060100; 57218691821","Information sharing and sales model decisions in the context of manufacturer-supplied store brands: the impact of quality differences","2026","International Journal of Production Research","","","","","","0","10.1080/00207543.2026.2642411","https://www.scopus.com/pages/publications/105032911381?origin=resultslist","School of Business, Central South University, Changsha, China; School of Business Administration, Zhongnan University of Economics and Law, Wuhan, China","Li H., School of Business, Central South University, Changsha, China; Li X., School of Business, Central South University, Changsha, China; Cao Y., School of Business, Central South University, Changsha, China; Tang Y., School of Business Administration, Zhongnan University of Economics and Law, Wuhan, China","E-commerce platforms (EPs) are increasingly introducing their own store brand products (SBPs), commonly sourced from national-brand manufacturers (NBMs) at wholesale prices. At the same time, NBMs can sell their national brand products (NBPs) through EPs by choosing either the agency or wholesale model. This paper studies how the EP’s information-sharing strategy interacts with the NBM’s choice of sales model for NBPs, particularly in competition with SBPs. Empirical evidence suggests significant quality differences between NBPs and SBPs from the same manufacturer, with NBPs generally being of higher quality. We examine how this quality difference affects equilibrium outcomes, a topic that has been underexplored in the literature. Our findings indicate that the EP’s strategy for sharing information and the NBM’s choice of sales model largely depends on the quality difference between the two products, resulting in several possible equilibrium outcomes: (1) When the quality difference between NBPs and SBPs is low, the NBM will always prefer the wholesale model for NBPs. In this case, the EP withholds information, as doing so preserves profits in both the SBP and NBP channels. (2) When the quality difference is moderate, the NBM’s sales model choice depends on the EP’s information-sharing strategy. Specifically, information sharing encourages the agency model, while withholding information leads to the wholesale model. In this case, the EP will choose to share information when the commission rate is sufficiently high, as the increase in profits from the NBP channel outweighs the loss in the SBP channel. (3) When the quality difference is high, the NBM chooses the agency model. The EP’s information-sharing strategy depends on the commission rate: it chooses to share information when the commission rate is high enough, such that the profit gain from the NBP channel outweighs the loss from the SBP channel. To test the robustness of our findings, we extend the model by (i) reversing the sequence of decisions, (ii) introducing price (Bertrand) competition, and (iii) incorporating a Nash bargaining framework into the sales model determination. © 2026 Informa UK Limited, trading as Taylor & Francis Group.","information sharing; national brand; quality difference; sales model; Store brand","Costs; Electronic commerce; Information analysis; Profitability; Sales; Commerce platforms; Information sharing; Information sharing strategies; Modeling decisions; National brand; Product channel; Quality difference; Sale model; Store brand; Whole sale prices; Information dissemination","Y. Tang; School of Business Administration, Zhongnan University of Economics and Law, Wuhan, Hubei, China; email: tangyao0512@zuel.edu.cn","","Taylor and Francis Ltd.","00207543","","IJPRB","","English","Int J Prod Res","Article","Article in press","","Scopus","2-s2.0-105032911381"
"Li X.; Zhang C.; Xu H.; Li Y.; Li Z.; Lyu R.","Li, Xiufang (58928358200); Zhang, Cuihua (43260984200); Xu, Henry (56144076600); Li, Yanting (57211425672); Li, Zhitang (57222640241); Lyu, Ruxia (57211423339)","58928358200; 43260984200; 56144076600; 57211425672; 57222640241; 57211423339","How does blockchain-enabled information sharing influence supplier encroachment mode selection under asymmetric quality preference information?","2026","Transportation Research Part E: Logistics and Transportation Review","212","","104917","","","0","10.1016/j.tre.2026.104917","https://www.scopus.com/pages/publications/105038453013?origin=resultslist","School of Business Administration, Northeastern University, Shenyang, 110169, China; UQ Business School, The University of Queensland, Brisbane, 4072, QLD, Australia; School of Management, Shijiazhuang Tiedao University, Shijiazhuang, China; Research Institute of Engineering Management, Shijiazhuang Tiedao University, Shijiazhuang, China; School of Business, Guangxi University, Nanning, 530004, China; International Business School, Jinan University, Zhuhai, 519070, China","Li X., School of Business Administration, Northeastern University, Shenyang, 110169, China; Zhang C., School of Business Administration, Northeastern University, Shenyang, 110169, China; Xu H., UQ Business School, The University of Queensland, Brisbane, 4072, QLD, Australia; Li Y., School of Management, Shijiazhuang Tiedao University, Shijiazhuang, China, Research Institute of Engineering Management, Shijiazhuang Tiedao University, Shijiazhuang, China; Li Z., School of Business, Guangxi University, Nanning, 530004, China; Lyu R., International Business School, Jinan University, Zhuhai, 519070, China","The development of e-commerce is transforming supplier encroachment from a traditional integrated mode to a decentralized mode, in which independent e-commerce divisions manage online operations. However, how suppliers should choose their encroachment mode when retailers hold private information about consumer quality preference remains underexplored, especially in the presence of blockchain-enabled information sharing. Inspired by this gap, we investigate whether and how a supplier should encroach under information asymmetry and how blockchain-enabled information sharing influences encroachment mode selection. This study develops game-theoretic models consisting of a supplier who may establish an e-commerce division and a retailer with private information. Our findings first show that integrated encroachment can alleviate double marginalization by lowering wholesale and retail prices, whereas decentralized encroachment mitigates channel competition by restricting direct sales. Second, the supplier favors decentralized encroachment when direct selling costs are low, whereas integrated or no encroachment becomes more attractive as these costs increase. Moreover, blockchain-enabled information sharing can weaken the supplier’s reliance on integrated encroachment, shifting preferences toward decentralized or no encroachment. Finally, when direct selling costs are moderately low or very high, the retailer prefers not to share information. To test the robustness of our results, we conduct several extension analyses and confirm that the main findings remain valid. Our research provides valuable guidance for selecting appropriate encroachment modes and information-sharing strategies in supply chains. Specifically, suppliers should choose among no, integrated, or decentralized encroachment based on direct selling costs and information-sharing conditions, while retailers should strategically decide whether to share information by considering direct selling costs, sharing costs, and anticipated supplier encroachment. © 2026 Elsevier Ltd.","Blockchain adoption; Decentralized encroachment; Information asymmetry; Integrated encroachment; Signaling","Blockchain; Costs; Electronic commerce; Information analysis; Information dissemination; Supply chains; Block-chain; Blockchain adoption; Decentralised; Decentralized encroachment; E- commerces; Information asymmetry; Information sharing; Integrated encroachment; Mode selection; Private information; electronic commerce; game theory; Sales","C. Zhang; School of Business Administration, Northeastern University, Shenyang, 110169, China; email: chat9966_neu@163.com","","Elsevier Ltd","13665545","","","","English","Transp. Res. Part E Logist. Transp. Rev.","Article","Final","","Scopus","2-s2.0-105038453013"
"Kitcharoen K.","Kitcharoen, Krisana (58105177600)","58105177600","Digital Transformation and Process Integration: Enhancing Supply Chain Resilience in Thailand’s Wholesale and Distribution Sector","2025","Journal of Distribution Science","23","3","","23","33","0","10.15722/jds.23.03.202503.23","https://www.scopus.com/pages/publications/105003106970?origin=resultslist","Department of Innovative Technology Management, Graduate School of Business and Advanced Technology Management, Assumption University, Thailand","Kitcharoen K., Department of Innovative Technology Management, Graduate School of Business and Advanced Technology Management, Assumption University, Thailand","Purpose: Digital transformation has become a crucial factor in enhancing supply chain resilience, especially in Thailand’s wholesale and distribution sector. This study investigates the impact of digital transformation on supply chain integration, focusing on three key areas: information flow, physical flow, and financial flow, and examines their effects on resilience and operational performance. Research Design, Data, and Methodology: A quantitative approach was adopted, surveying 415 supply chain professionals, managers, and executives from firms undergoing digital transformation. Purposive and convenience sampling techniques ensured representation across industries. Data were analyzed using Confirmatory Factor Analysis (CFA) and Structural Equation Modeling (SEM). Results: The findings reveal that digital transformation significantly improves integration in information, physical, and financial flows. However, only physical and financial flow integration positively impact supply chain resilience, while information flow integration does not. Furthermore, supply chain resilience is found to have a significant positive effect on operational performance. Conclusions: This study offers valuable managerial insights for leveraging digital transformation to enhance supply chain integration and resilience, thereby improving operational performance in Thailand’s wholesale and distribution sector. These results highlight the importance of prioritizing physical and financial flow integration to build a resilient and high-performing supply chain. © The Author(s) This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (http://Creativecommons.org/licenses/by-nc/4.0/) which permits unrestricted noncommercial use, distribution, and reproduction in any medium, provided the original work is properly cited.","Digital Transformation; Operational Performance; Process Integration; Supply Chain Resilience; Wholesale and Distribution","","K. Kitcharoen; Department of Innovative Technology Management, Graduate School of Business and Advanced Technology Management, Assumption University, Thailand; email: krisana@au.edu","","KODISA Foundation","17383110","","","","English","J. Distribution Science","Article","Final","","Scopus","2-s2.0-105003106970"
"Zhang H.; Ai S.; Du R.","Zhang, Honglin (58304292000); Ai, Shizhong (14420832800); Du, Rong (56232512600)","58304292000; 14420832800; 56232512600","Research on the Introduction of Private Brand for E-commerce Platform Under Mixed Channels of Manufacturer","2023","Lecture Notes in Business Information Processing","481 LNBIP","","","194","205","0","10.1007/978-3-031-32302-7_17","https://www.scopus.com/pages/publications/85161163508?origin=resultslist","School of Economics and Management, Xidian University, Xi’an, 710126, China","Zhang H., School of Economics and Management, Xidian University, Xi’an, 710126, China; Ai S., School of Economics and Management, Xidian University, Xi’an, 710126, China; Du R., School of Economics and Management, Xidian University, Xi’an, 710126, China","With the rapid development of e-commerce and the intensified competition between platforms and that between platforms and manufacturers, private brand strategy has become the key for e-commerce platforms to gain competitive advantages. Under the premise that the manufacturer relies on the e-commerce platform to sell commodities through wholesale channel and platform channel, basic decision model (without introducing private brand) and platform introduction decision model (introducing private brand) are established. Applying backward induction to analyze the influence of channel preference, platform commission rate and the quality of private brand commodity on equilibrium profit and optimal decision, we can come to the conclusion that: (1) When consumer’s platform channel preference is high or the commission rate is high, the e-commerce platform should introduce private brand to enhance its competitiveness and increase revenue; (2) After the introduction of private brand into e-commerce platform, the wholesale price, sales price and revenue of manufacturer will be reduced; (3) After the introduction of private brand into e-commerce platform, with the improvement of the quality of private brand commodity, the revenue of e-commerce platform may decrease. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Channel competition; E-commerce platform; Private brand; Product quality","Competition; Brand strategy; Channel competitions; Commerce platforms; Competitive advantage; Decision modeling; E- commerces; E-commerce platform; Mixed channel; Private brand; Products quality; Electronic commerce","S. Ai; School of Economics and Management, Xidian University, Xi’an, 710126, China; email: shzhai@mail.xidian.edu.cn","Tu Y.; Chi M.","Springer Science and Business Media Deutschland GmbH","18651348","978-303132301-0","","","English","Lect. Notes Bus. Inf. Process.","Conference paper","Final","","Scopus","2-s2.0-85161163508"
"Wang Z.; Cai J.; Ng C.T.; Cheng T.C.E.","Wang, Zhenyi (36987100000); Cai, Jianfeng (43461199200); Ng, Chi To (60593677000); Cheng, T.C.E. (60239632300)","36987100000; 43461199200; 60593677000; 60239632300","Sourcing strategies of e-commerce platforms for private-label products: Roles of manufacturers’ production cost reduction incentives and selling format choice","2026","Transportation Research Part E: Logistics and Transportation Review","211","","104869","","","0","10.1016/j.tre.2026.104869","https://www.scopus.com/pages/publications/105036551972?origin=resultslist","School of Management, Northwestern Polytechnical University, Xi’an, China; Logistics Research Centre, Department of Logistics and Maritime Studies, The Hong Kong Polytechnic University, Kowloon, Hong Kong","Wang Z., School of Management, Northwestern Polytechnical University, Xi’an, China; Cai J., School of Management, Northwestern Polytechnical University, Xi’an, China; Ng C.T., Logistics Research Centre, Department of Logistics and Maritime Studies, The Hong Kong Polytechnic University, Kowloon, Hong Kong; Cheng T.C.E., Logistics Research Centre, Department of Logistics and Maritime Studies, The Hong Kong Polytechnic University, Kowloon, Hong Kong","Private-label (PL) products have expanded rapidly on e-commerce platforms, which has raised a fundamental question regarding whether platforms should source PL products from incumbent national brand manufacturers (NBM sourcing) or third-party manufacturers (outsourcing). Although outsourcing mitigates double marginalization, many platforms frequently rely on NBM sourcing—a pattern that has not been clearly explained. To address this gap, we develop a unified game-theoretic model that endogenizes a national brand manufacturer’s selling format choice between reselling and agency selling, a platform’s PL sourcing decision, and manufacturers’ cost reduction efforts. In contrast to the intuitive belief that access to an additional revenue stream uniformly increases investment incentives, our analysis indicates that NBM sourcing can reduce cost reduction incentives relative to outsourcing under agency selling, particularly when products are highly substitutable. Moreover, the selling format moderates how cost reduction rationalizes NBM sourcing. Under reselling, cost reduction facilitates NBM sourcing by reducing wholesale prices at low substitutability and by preserving the viability of PL production at high substitutability. Under agency selling, in addition to these effects, cost reduction gains are transmitted to the platform through commissions, rationalizing NBM sourcing even when it entails a higher PL wholesale price at moderate-to-high substitutability and intermediate commission rates. Furthermore, introducing endogenous cost reduction enables all four combinations of selling format and PL sourcing strategy to arise in equilibrium, facilitating strategic interaction between these two decisions. Finally, our results are robust and yield additional insights under asymmetry in market sizes, asymmetry in cost reduction efficiency, and brand spillover effects. © 2026 Elsevier Ltd.","Cost reduction; E-commerce; Private labels (PLs); Selling format; Sourcing strategy","Cost benefit analysis; Electronic commerce; Game theory; Investments; Outsourcing; Sales; Strategic planning; Commerce platforms; Costs reduction; E- commerces; Label products; Private label; Private labels; Production cost reductions; Selling format; Sourcing strategies; Whole sale prices; cost; electronic commerce; industrial production; manufacturing; outsourcing; Cost reduction","C.T. Ng; Logistics Research Centre, Department of Logistics and Maritime Studies, The Hong Kong Polytechnic University, Kowloon, Hong Kong; email: daniel.ng@polyu.edu.hk","","Elsevier Ltd","13665545","","","","English","Transp. Res. Part E Logist. Transp. Rev.","Article","Final","","Scopus","2-s2.0-105036551972"
"Binnui A.; Iamsaard N.","Binnui, Anurak (57222184645); Iamsaard, Ninthana (58983737300)","57222184645; 58983737300","Marketing Promotion with 8P’s Strategy for Processed Palm Oil Products for Sustaining Small Business’s Growth","2024","GMSARN International Journal","18","4","","537","542","0","","https://www.scopus.com/pages/publications/85190245164?origin=resultslist","Faculty of Management Science, Suratthani Rajabhat University, 272, M.9, Tambon Khunthalay, Amphur Muang, Suratthani, 84100, Thailand","Binnui A., Faculty of Management Science, Suratthani Rajabhat University, 272, M.9, Tambon Khunthalay, Amphur Muang, Suratthani, 84100, Thailand; Iamsaard N., Faculty of Management Science, Suratthani Rajabhat University, 272, M.9, Tambon Khunthalay, Amphur Muang, Suratthani, 84100, Thailand","The lack of middleman for the products, various direct and indirect competitors, deteriorating economy and strict consumer protection law constraining the farmers to produce products that meet the legal standards have adversely affected the marketability of a palm oil-based soap product that can fulfill the need of health concerned customers. This paper studies a marketing mix or 8P’s strategy consisted of the following. Product strategy; producing quality soaps with a variety of scents, more beneficial to users and meet the legal standard. Price strategy; setting reasonable prices, offering wholesale pricing on large quantities. Place strategy; creating digital channels in various platforms such as website and e-commerce. Promotion strategy; building a personal identity on digital media channel is an efficiency way to promote the products, reviewing products by bloggers or influencers in the digital society is helping consumers to know more about the products. Packaging strategy: presenting a beautiful package, choice of product differentiation using a natural packaging handmade can add more value to the soaps. Personal Strategy; selling products by the farmers or producers themselves by enhancing their aptitude, skills and good selling techniques. Public Relation Strategy; providing proper beneficial information to customer, create modern digital media channels to present the products, including website, Facebook platform and variety web forums. Power strategy; reorganizing and fortifying the network by fostering collaboration among the community, public and private sectors, with the aim of catalyzing sustainable growth and enhancing the resilience of the community-based system. It is envisioned that this strategy would create the desired impacts on the products’ marketability and sustainability. © (2024), (Greater Mekong Subregion Academic and Research Network). All Rights Reserved.","Marketing mix (8P’s); Palm oil-based soap; Sustainability","","N. Iamsaard; Faculty of Management Science, Suratthani Rajabhat University, Suratthani, 272, M.9, Tambon Khunthalay, Amphur Muang, 84100, Thailand; email: ninthana.iam@sru.ac.th","","Greater Mekong Subregion Academic and Research Network, Asian Institute of Technology","19059094","","","","English","GMSARN International J.","Article","Final","","Scopus","2-s2.0-85190245164"
"Li J.; Ji X.; Chen Z.; Wu J.","Li, Jingyan (57226157889); Ji, Xiang (56732299700); Chen, Zhixin (57202779661); Wu, Jie (36136281200)","57226157889; 56732299700; 57202779661; 36136281200","How cooperative advertising interacts with distributional contracts in a dual-channel system","2022","RAIRO - Operations Research","56","3","","1655","1684","8","10.1051/ro/2022081","https://www.scopus.com/pages/publications/85133724239?origin=resultslist","School of Management, University of Science and Technology of China, Hefei, 230026, China","Li J., School of Management, University of Science and Technology of China, Hefei, 230026, China; Ji X., School of Management, University of Science and Technology of China, Hefei, 230026, China; Chen Z., School of Management, University of Science and Technology of China, Hefei, 230026, China; Wu J., School of Management, University of Science and Technology of China, Hefei, 230026, China","With the development of E-commerce, an increasing number of online platforms are conducting advertising campaigns to expand their sales. In some situations, the manufacturer is willing to share the advertising cost, while in others it is not. Additionally, recently, many online platforms have started choosing an agency contract, instead of a wholesale contract, to obtain a predetermined proportion of revenue from the manufacturer to make profits. This paper studies a scenario of a manufacturer selling through both a direct channel and a platform channel to investigate the interaction between a manufacturera s cooperative advertising strategy and a platforma s distribution contract choice. We develop a stylized model based on game theory to drive the optimal prices and advertising level under different contracts. By using a representative consumer function, we drive the following interesting results. Firstly, under the wholesale contract, a manufacturer prefers cooperating only when the cost-sharing rate is small, but under an agency contract, when the revenue-sharing rate is large, the manufacturer will not choose to cooperate even if the cost-sharing rate is low. Secondly, the platforma s profit does not always increase in the revenue-sharing rate. Finally, under some conditions, the platform would prefer that the manufacturer not share the cost. Specifically, when the competition intensity is small and the revenue-share rate is high, the platform would rather choose an agency contract to cover all advertising costs on its own than a wholesale contract where the manufacturer is willing to share advertising costs. We also consider direct channel advertising as well in an extension, and the qualitative results still hold.  © ","Agency model; Cooperative advertising; Game theory; Supply chain contract","Cost effectiveness; Manufacture; Marketing; Profitability; Supply chains; Agency model; Channel systems; Cooperative advertisings; Cost sharing; Direct channel; Dual channel; Online platforms; Revenue-sharing; Supply chain contracts; Game theory","X. Ji; School of Management, University of Science and Technology of China, Hefei, 230026, China; email: signji@mail.ustc.edu.cn","","EDP Sciences","28047303","","","","English","RAIRO Oper. Res.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85133724239"
"Liu Y.; Ma D.; Hu J.; Zhang Z.","Liu, Yuhong (57188679436); Ma, Deqing (57215682547); Hu, Jinsong (55499382100); Zhang, Ziyi (59529851300)","57188679436; 57215682547; 55499382100; 59529851300","Sales mode selection of fresh food supply chain based on blockchain technology under different channel competition","2021","Computers and Industrial Engineering","162","","107730","","","126","10.1016/j.cie.2021.107730","https://www.scopus.com/pages/publications/85118483867?origin=resultslist","School of Business, Qingdao University, Qingdao, 266071, Shandong, China","Liu Y., School of Business, Qingdao University, Qingdao, 266071, Shandong, China; Ma D., School of Business, Qingdao University, Qingdao, 266071, Shandong, China; Hu J., School of Business, Qingdao University, Qingdao, 266071, Shandong, China; Zhang Z., School of Business, Qingdao University, Qingdao, 266071, Shandong, China","In the era of new technology, e-commerce platforms (E-platform) have been opening up the fresh food market successively, so it is inevitable that they will face the problem of the selection of sales mode. We consider the blockchain-enabled traceability goodwill and product freshness, aiming to explore whether the E-platform chooses reselling or agency selling for fresh food in competition with different traditional retailers. Traditional retailers include both TR1 (the traditional retailer who collaborates with the supplier through a wholesale price contract) and TR2 (the traditional retailer who collaborates with the supplier through a revenue-sharing contract). Our results show, competition between traditional and online channels can lead to a higher price for fresh food and incentivize firms to invest more in product freshness and blockchain-enabled traceability goodwill, so it contributes to economical profits across the supply chain. Furthermore, in the presence of channel competition, the interaction between the E-platform sales mode and optimal strategies depends mainly on competition, the settable fee rate under agency selling and the wholesale price under reselling. Also, the rate increases can drive up the pricing and prompt the traditional retailer to expand investment in blockchain technology. However, it no longer affects the pricing when the rate equals the revenue-sharing proportion made by TR2. In addition, only when the wholesale price is higher than a certain threshold or the rate and competition meet certain conditions, double marginalization will make the pricing under reselling higher than that under agency selling. Combined with the numerical example, we further find that reselling is the dominant sales mode for fresh food with a low wholesale price regardless of the type of the traditional retailer. However, as the wholesale price rises, in addition to the wholesale price, the platform also needs to consider the impact of channel competition and the fee rate to choose the optimal sales mode, especially in a highly competitive environment. © 2021 Elsevier Ltd","Agency selling; Channel competition; Differential game; Multi-channel fresh food supply chain; Reselling","Blockchain; Competition; Costs; Food supply; Supply chains; Agency selling; Block-chain; Channel competitions; Differential games; Food supply chain; Fresh food; Multi channel; Multi-channel fresh food supply chain; Reselling; Whole sale prices; Sales","J. Hu; School of Business, Qingdao University, Qingdao, 266071, China; email: hujinsong@qdu.edu.cn","","Elsevier Ltd","03608352","","CINDD","","English","Comput Ind Eng","Article","Final","","Scopus","2-s2.0-85118483867"
